n,E,M
500000,-11240.0,-0.0009999999999225
500050,-11262.0,7.750012654197946e-14
500100,-11270.0,0.0014000000000775003
500150,-11260.0,0.0022000000000775006
500200,-11250.0,0.0018000000000775005
500250,-11250.0,0.004400000000077501
500300,-11272.0,0.004200000000077501
500350,-11272.0,0.003000000000077501
500400,-11252.0,0.0038000000000775014
500450,-11256.0,0.007000000000077496
500500,-11220.0,0.008800000000077498
500550,-11230.0,0.0094000000000775
500600,-11242.0,0.010600000000077502
500650,-11272.0,0.012200000000077506
500700,-11266.0,0.012600000000077508
500750,-11260.0,0.014200000000077512
500800,-11256.0,0.012400000000077507
500850,-11282.0,0.012000000000077506
500900,-11290.0,0.010600000000077502
500950,-11306.0,0.0098000000000775
501000,-11296.0,0.0098000000000775
501050,-11294.0,0.0094000000000775
501100,-11278.0,0.010400000000077502
501150,-11284.0,0.012000000000077506
501200,-11282.0,0.012200000000077506
501250,-11286.0,0.010600000000077502
501300,-11272.0,0.0098000000000775
501350,-11276.0,0.0100000000000775
501400,-11282.0,0.0100000000000775
501450,-11308.0,0.010400000000077502
501500,-11294.0,0.010600000000077502
501550,-11284.0,0.010600000000077502
501600,-11284.0,0.009200000000077499
501650,-11292.0,0.0096000000000775
501700,-11274.0,0.0098000000000775
501750,-11268.0,0.0098000000000775
501800,-11260.0,0.010800000000077503
501850,-11246.0,0.011200000000077504
501900,-11244.0,0.011000000000077503
501950,-11248.0,0.0100000000000775
502000,-11252.0,0.009200000000077499
502050,-11240.0,0.009000000000077498
502100,-11252.0,0.010200000000077501
502150,-11244.0,0.008200000000077496
502200,-11236.0,0.008600000000077497
502250,-11238.0,0.0100000000000775
502300,-11238.0,0.010600000000077502
502350,-11232.0,0.013000000000077509
502400,-11252.0,0.014000000000077511
502450,-11246.0,0.014200000000077512
502500,-11214.0,0.014400000000077512
502550,-11208.0,0.012800000000077508
502600,-11208.0,0.014000000000077511
502650,-11228.0,0.01380000000007751
502700,-11226.0,0.012600000000077508
502750,-11210.0,0.012600000000077508
502800,-11212.0,0.01340000000007751
502850,-11232.0,0.01340000000007751
502900,-11216.0,0.013200000000077509
502950,-11220.0,0.014200000000077512
503000,-11206.0,0.016200000000077514
503050,-11210.0,0.017800000000077504
503100,-11204.0,0.017400000000077506
503150,-11212.0,0.018800000000077498
503200,-11228.0,0.01700000000007751
503250,-11242.0,0.015800000000077516
503300,-11254.0,0.015200000000077514
503350,-11250.0,0.015800000000077516
503400,-11252.0,0.015600000000077515
503450,-11250.0,0.014800000000077513
503500,-11240.0,0.016400000000077512
503550,-11232.0,0.01660000000007751
503600,-11252.0,0.016200000000077514
503650,-11228.0,0.014600000000077513
