n,E,M
500000,-13414.0,-0.0023999999999225006
500050,-13422.0,-0.002999999999922501
500100,-13420.0,-0.004399999999922501
500150,-13410.0,-0.005599999999922499
500200,-13396.0,-0.005199999999922499
500250,-13418.0,-0.006999999999922496
500300,-13422.0,-0.0067999999999224965
500350,-13408.0,-0.0073999999999224955
500400,-13420.0,-0.007599999999922495
500450,-13422.0,-0.007199999999922496
500500,-13410.0,-0.0073999999999224955
500550,-13406.0,-0.008199999999922495
500600,-13388.0,-0.008399999999922496
500650,-13380.0,-0.007199999999922496
500700,-13392.0,-0.006399999999922497
500750,-13378.0,-0.0061999999999224975
500800,-13368.0,-0.0049999999999225
500850,-13388.0,-0.003999999999922501
500900,-13388.0,-0.0061999999999224975
500950,-13394.0,-0.0061999999999224975
501000,-13374.0,-0.0061999999999224975
501050,-13368.0,-0.007999999999922494
501100,-13350.0,-0.008799999999922497
501150,-13362.0,-0.009399999999922498
501200,-13354.0,-0.008799999999922497
501250,-13352.0,-0.0073999999999224955
501300,-13360.0,-0.005599999999922499
501350,-13362.0,-0.005999999999922498
501400,-13380.0,-0.0067999999999224965
501450,-13382.0,-0.006399999999922497
501500,-13374.0,-0.006999999999922496
501550,-13366.0,-0.005199999999922499
501600,-13372.0,-0.006399999999922497
501650,-13394.0,-0.006599999999922497
501700,-13408.0,-0.007599999999922495
501750,-13410.0,-0.007799999999922495
501800,-13412.0,-0.007799999999922495
501850,-13420.0,-0.007599999999922495
501900,-13416.0,-0.008199999999922495
501950,-13416.0,-0.007999999999922494
502000,-13406.0,-0.009199999999922498
502050,-13398.0,-0.0099999999999225
502100,-13398.0,-0.010999999999922502
502150,-13414.0,-0.010799999999922502
502200,-13408.0,-0.010799999999922502
502250,-13420.0,-0.010999999999922502
502300,-13428.0,-0.010599999999922501
502350,-13428.0,-0.009599999999922499
502400,-13414.0,-0.007599999999922495
502450,-13410.0,-0.007599999999922495
502500,-13402.0,-0.0067999999999224965
502550,-13418.0,-0.007599999999922495
502600,-13408.0,-0.0073999999999224955
502650,-13412.0,-0.0061999999999224975
502700,-13422.0,-0.005599999999922499
502750,-13424.0,-0.0061999999999224975
502800,-13414.0,-0.0073999999999224955
502850,-13412.0,-0.007599999999922495
502900,-13416.0,-0.009399999999922498
502950,-13420.0,-0.009399999999922498
503000,-13422.0,-0.008199999999922495
503050,-13420.0,-0.008199999999922495
503100,-13428.0,-0.0067999999999224965
503150,-13422.0,-0.0061999999999224975
503200,-13422.0,-0.005999999999922498
503250,-13426.0,-0.0073999999999224955
