n,E,M
500000,-13682.0,-0.011599999999922504
500050,-13690.0,-0.012999999999922508
500100,-13692.0,-0.013199999999922508
500150,-13694.0,-0.013199999999922508
500200,-13686.0,-0.01379999999992251
500250,-13698.0,-0.014599999999922512
500300,-13718.0,-0.01419999999992251
500350,-13728.0,-0.015599999999922514
500400,-13734.0,-0.01639999999992251
500450,-13724.0,-0.016199999999922512
500500,-13726.0,-0.015599999999922514
500550,-13714.0,-0.015799999999922515
500600,-13722.0,-0.01419999999992251
500650,-13720.0,-0.01359999999992251
500700,-13704.0,-0.01379999999992251
500750,-13702.0,-0.011199999999922503
500800,-13690.0,-0.010999999999922502
500850,-13690.0,-0.011399999999922503
500900,-13682.0,-0.010799999999922502
500950,-13672.0,-0.009399999999922498
501000,-13662.0,-0.0103999999999225
501050,-13656.0,-0.010599999999922501
501100,-13656.0,-0.012399999999922506
501150,-13670.0,-0.012599999999922507
501200,-13658.0,-0.01379999999992251
501250,-13660.0,-0.012399999999922506
501300,-13656.0,-0.012599999999922507
501350,-13650.0,-0.010799999999922502
501400,-13650.0,-0.011599999999922504
501450,-13650.0,-0.010999999999922502
501500,-13652.0,-0.009599999999922499
501550,-13642.0,-0.0103999999999225
501600,-13630.0,-0.009199999999922498
501650,-13642.0,-0.007999999999922494
501700,-13648.0,-0.0073999999999224955
501750,-13644.0,-0.006399999999922497
501800,-13650.0,-0.0067999999999224965
501850,-13648.0,-0.0047999999999225
501900,-13628.0,-0.005999999999922498
501950,-13638.0,-0.004399999999922501
502000,-13630.0,-0.0045999999999225
502050,-13618.0,-0.0049999999999225
502100,-13614.0,-0.005999999999922498
502150,-13618.0,-0.008399999999922496
502200,-13624.0,-0.008399999999922496
502250,-13618.0,-0.007799999999922495
502300,-13634.0,-0.008999999999922497
502350,-13624.0,-0.0099999999999225
502400,-13604.0,-0.010799999999922502
502450,-13606.0,-0.0103999999999225
502500,-13606.0,-0.010999999999922502
502550,-13608.0,-0.0101999999999225
502600,-13612.0,-0.011599999999922504
502650,-13620.0,-0.0099999999999225
502700,-13626.0,-0.008999999999922497
502750,-13644.0,-0.007999999999922494
502800,-13628.0,-0.007599999999922495
502850,-13634.0,-0.005799999999922498
502900,-13640.0,-0.0049999999999225
502950,-13644.0,-0.0049999999999225
503000,-13640.0,-0.004399999999922501
503050,-13652.0,-0.005999999999922498
