n,E,M
500000,-14208.0,-0.018799999999922497
500050,-14206.0,-0.0183999999999225
500100,-14198.0,-0.019199999999922494
500150,-14190.0,-0.018999999999922496
500200,-14174.0,-0.0181999999999225
500250,-14186.0,-0.01979999999992249
500300,-14188.0,-0.02019999999992249
500350,-14168.0,-0.020599999999922486
500400,-14174.0,-0.020399999999922487
500450,-14170.0,-0.020599999999922486
500500,-14166.0,-0.020399999999922487
500550,-14168.0,-0.020399999999922487
500600,-14182.0,-0.02139999999992248
500650,-14186.0,-0.020999999999922483
500700,-14176.0,-0.021999999999922477
500750,-14182.0,-0.021999999999922477
500800,-14186.0,-0.020399999999922487
500850,-14184.0,-0.020399999999922487
500900,-14184.0,-0.018999999999922496
500950,-14194.0,-0.017199999999922506
501000,-14200.0,-0.017199999999922506
501050,-14188.0,-0.019199999999922494
501100,-14192.0,-0.020399999999922487
501150,-14208.0,-0.01999999999992249
501200,-14208.0,-0.020599999999922486
501250,-14198.0,-0.020799999999922485
501300,-14196.0,-0.022199999999922476
501350,-14186.0,-0.02299999999992247
501400,-14188.0,-0.023799999999922467
501450,-14178.0,-0.023999999999922465
501500,-14192.0,-0.025399999999922457
501550,-14184.0,-0.02659999999992245
501600,-14186.0,-0.02659999999992245
501650,-14188.0,-0.024399999999922463
501700,-14178.0,-0.025999999999922453
501750,-14184.0,-0.02659999999992245
501800,-14184.0,-0.02679999999992245
501850,-14168.0,-0.02839999999992244
501900,-14168.0,-0.027799999999922442
501950,-14174.0,-0.02819999999992244
502000,-14176.0,-0.028599999999922437
502050,-14174.0,-0.030799999999922424
502100,-14182.0,-0.030199999999922428
502150,-14186.0,-0.030999999999922423
502200,-14206.0,-0.02999999999992243
502250,-14202.0,-0.030599999999922425
502300,-14222.0,-0.030199999999922428
502350,-14222.0,-0.028999999999922435
502400,-14214.0,-0.02959999999992243
502450,-14218.0,-0.02999999999992243
502500,-14222.0,-0.02959999999992243
502550,-14226.0,-0.028599999999922437
502600,-14224.0,-0.028999999999922435
502650,-14214.0,-0.028799999999922436
502700,-14222.0,-0.028799999999922436
502750,-14222.0,-0.027799999999922442
502800,-14232.0,-0.02679999999992245
502850,-14224.0,-0.027599999999922444
502900,-14204.0,-0.02979999999992243
502950,-14212.0,-0.02799999999992244
503000,-14214.0,-0.028999999999922435
503050,-14216.0,-0.02839999999992244
503100,-14214.0,-0.02979999999992243
503150,-14216.0,-0.030599999999922425
503200,-14224.0,-0.032399999999922414
503250,-14218.0,-0.03199999999992242
503300,-14220.0,-0.03339999999992241
503350,-14224.0,-0.03159999999992242
503400,-14222.0,-0.030399999999922427
503450,-14216.0,-0.03159999999992242
503500,-14222.0,-0.032399999999922414
503550,-14222.0,-0.03279999999992241
503600,-14218.0,-0.03299999999992241
503650,-14220.0,-0.03319999999992241
503700,-14218.0,-0.034199999999922404
503750,-14224.0,-0.033999999999922405
503800,-14230.0,-0.0351999999999224
503850,-14244.0,-0.0347999999999224
503900,-14240.0,-0.0349999999999224
503950,-14246.0,-0.035599999999922395
504000,-14248.0,-0.0351999999999224
504050,-14248.0,-0.03619999999992239
504100,-14244.0,-0.035599999999922395
504150,-14242.0,-0.03659999999992239
504200,-14240.0,-0.03819999999992238
504250,-14254.0,-0.03959999999992237
504300,-14262.0,-0.03919999999992237
504350,-14264.0,-0.03919999999992237
504400,-14256.0,-0.03779999999992238
504450,-14254.0,-0.03779999999992238
504500,-14250.0,-0.035399999999922396
504550,-14250.0,-0.03759999999992238
504600,-14256.0,-0.03799999999992238
504650,-14252.0,-0.03799999999992238
504700,-14254.0,-0.037199999999922385
504750,-14244.0,-0.03679999999992239
504800,-14242.0,-0.03699999999992239
504850,-14236.0,-0.035799999999922394
504900,-14236.0,-0.035399999999922396
504950,-14250.0,-0.034199999999922404
505000,-14242.0,-0.035399999999922396
505050,-14238.0,-0.035599999999922395
505100,-14246.0,-0.035599999999922395
505150,-14268.0,-0.03679999999992239
505200,-14260.0,-0.03699999999992239
505250,-14268.0,-0.0351999999999224
505300,-14264.0,-0.03619999999992239
505350,-14256.0,-0.03679999999992239
505400,-14254.0,-0.03779999999992238
505450,-14250.0,-0.03679999999992239
505500,-14242.0,-0.03759999999992238
505550,-14252.0,-0.03799999999992238
505600,-14252.0,-0.03759999999992238
505650,-14246.0,-0.03759999999992238
505700,-14252.0,-0.03759999999992238
505750,-14254.0,-0.03679999999992239
505800,-14256.0,-0.03679999999992239
505850,-14240.0,-0.03599999999992239
505900,-14246.0,-0.03659999999992239
505950,-14246.0,-0.03679999999992239
506000,-14252.0,-0.035799999999922394
506050,-14254.0,-0.037199999999922385
506100,-14244.0,-0.03779999999992238
506150,-14240.0,-0.03799999999992238
506200,-14254.0,-0.03759999999992238
506250,-14262.0,-0.03799999999992238
506300,-14266.0,-0.03799999999992238
506350,-14262.0,-0.03699999999992239
506400,-14270.0,-0.03659999999992239
506450,-14276.0,-0.03659999999992239
506500,-14270.0,-0.03639999999992239
506550,-14270.0,-0.035599999999922395
506600,-14268.0,-0.035799999999922394
506650,-14264.0,-0.034199999999922404
506700,-14260.0,-0.03319999999992241
506750,-14264.0,-0.03159999999992242
506800,-14260.0,-0.03299999999992241
506850,-14248.0,-0.03319999999992241
506900,-14254.0,-0.03279999999992241
506950,-14254.0,-0.03139999999992242
507000,-14256.0,-0.03179999999992242
507050,-14254.0,-0.030199999999922428
507100,-14266.0,-0.03179999999992242
507150,-14278.0,-0.03179999999992242
507200,-14280.0,-0.030999999999922423
507250,-14272.0,-0.03159999999992242
507300,-14270.0,-0.032399999999922414
507350,-14268.0,-0.03199999999992242
507400,-14278.0,-0.03279999999992241
507450,-14274.0,-0.03279999999992241
507500,-14270.0,-0.03279999999992241
507550,-14266.0,-0.032199999999922416
507600,-14254.0,-0.03299999999992241
507650,-14262.0,-0.03199999999992242
507700,-14270.0,-0.030999999999922423
507750,-14272.0,-0.03279999999992241
507800,-14258.0,-0.0349999999999224
507850,-14264.0,-0.03619999999992239
507900,-14276.0,-0.03599999999992239
507950,-14280.0,-0.0347999999999224
508000,-14294.0,-0.0345999999999224
508050,-14298.0,-0.033999999999922405
508100,-14314.0,-0.03299999999992241
508150,-14328.0,-0.03359999999992241
508200,-14314.0,-0.03279999999992241
508250,-14306.0,-0.032399999999922414
508300,-14308.0,-0.03359999999992241
508350,-14310.0,-0.033799999999922406
508400,-14306.0,-0.03299999999992241
508450,-14296.0,-0.03199999999992242
508500,-14298.0,-0.03199999999992242
508550,-14278.0,-0.03319999999992241
508600,-14268.0,-0.03339999999992241
508650,-14266.0,-0.03259999999992241
