n,E,M
500000,-12062.0,-0.04479999999992234
500050,-12054.0,-0.04339999999992235
500100,-12042.0,-0.04459999999992234
500150,-12046.0,-0.043799999999922345
500200,-12052.0,-0.04459999999992234
500250,-12060.0,-0.04359999999992235
500300,-12068.0,-0.042399999999922354
500350,-12058.0,-0.042199999999922355
500400,-12052.0,-0.04179999999992236
500450,-12048.0,-0.04359999999992235
500500,-12054.0,-0.04359999999992235
500550,-12064.0,-0.04299999999992235
500600,-12042.0,-0.04139999999992236
500650,-12048.0,-0.04279999999992235
500700,-12064.0,-0.04159999999992236
500750,-12084.0,-0.042399999999922354
500800,-12068.0,-0.04099999999992236
500850,-12072.0,-0.040399999999922366
500900,-12084.0,-0.04019999999992237
500950,-12076.0,-0.037399999999922384
501000,-12078.0,-0.03679999999992239
501050,-12070.0,-0.03339999999992241
501100,-12072.0,-0.03259999999992241
501150,-12072.0,-0.03259999999992241
501200,-12078.0,-0.03339999999992241
501250,-12066.0,-0.033999999999922405
501300,-12064.0,-0.0345999999999224
501350,-12068.0,-0.032399999999922414
501400,-12062.0,-0.030599999999922425
501450,-12068.0,-0.030999999999922423
501500,-12062.0,-0.03179999999992242
501550,-12062.0,-0.03199999999992242
501600,-12072.0,-0.03199999999992242
501650,-12090.0,-0.030799999999922424
501700,-12088.0,-0.030999999999922423
501750,-12088.0,-0.03139999999992242
501800,-12082.0,-0.03139999999992242
501850,-12092.0,-0.03179999999992242
501900,-12100.0,-0.03119999999992242
501950,-12114.0,-0.030999999999922423
502000,-12110.0,-0.030799999999922424
502050,-12116.0,-0.03199999999992242
502100,-12094.0,-0.03159999999992242
502150,-12114.0,-0.03339999999992241
502200,-12110.0,-0.035799999999922394
502250,-12120.0,-0.035399999999922396
502300,-12114.0,-0.0343999999999224
502350,-12120.0,-0.035399999999922396
502400,-12124.0,-0.035799999999922394
502450,-12118.0,-0.03619999999992239
502500,-12096.0,-0.03619999999992239
502550,-12094.0,-0.0349999999999224
502600,-12088.0,-0.034199999999922404
502650,-12080.0,-0.033799999999922406
502700,-12102.0,-0.035799999999922394
502750,-12116.0,-0.0343999999999224
502800,-12116.0,-0.035799999999922394
502850,-12122.0,-0.033799999999922406
502900,-12104.0,-0.0349999999999224
502950,-12096.0,-0.033799999999922406
503000,-12094.0,-0.033799999999922406
503050,-12088.0,-0.03359999999992241
503100,-12088.0,-0.03179999999992242
503150,-12092.0,-0.030999999999922423
503200,-12076.0,-0.03139999999992242
503250,-12078.0,-0.030999999999922423
503300,-12078.0,-0.03279999999992241
503350,-12068.0,-0.03359999999992241
503400,-12068.0,-0.034199999999922404
503450,-12068.0,-0.0351999999999224
503500,-12072.0,-0.0351999999999224
503550,-12076.0,-0.037199999999922385
503600,-12066.0,-0.03639999999992239
503650,-12082.0,-0.03599999999992239
503700,-12090.0,-0.035599999999922395
503750,-12076.0,-0.0345999999999224
503800,-12070.0,-0.03339999999992241
503850,-12056.0,-0.033799999999922406
503900,-12042.0,-0.032399999999922414
503950,-12040.0,-0.02979999999992243
504000,-12044.0,-0.030799999999922424
504050,-12030.0,-0.02999999999992243
504100,-12038.0,-0.028999999999922435
504150,-12040.0,-0.029199999999922434
504200,-12066.0,-0.030599999999922425
504250,-12070.0,-0.03139999999992242
504300,-12062.0,-0.03179999999992242
504350,-12032.0,-0.030599999999922425
504400,-12038.0,-0.02839999999992244
504450,-12034.0,-0.02839999999992244
504500,-12036.0,-0.029199999999922434
504550,-12036.0,-0.026999999999922447
504600,-12018.0,-0.027199999999922446
504650,-12002.0,-0.025799999999922454
504700,-11998.0,-0.02459999999992246
504750,-11994.0,-0.025599999999922456
504800,-12018.0,-0.026999999999922447
504850,-12022.0,-0.027199999999922446
504900,-12010.0,-0.02499999999992246
504950,-12002.0,-0.02459999999992246
505000,-12016.0,-0.023999999999922465
505050,-12014.0,-0.022599999999922474
505100,-12006.0,-0.023599999999922468
505150,-11980.0,-0.02499999999992246
505200,-11982.0,-0.023999999999922465
505250,-11988.0,-0.02459999999992246
505300,-11998.0,-0.02499999999992246
505350,-11994.0,-0.025999999999922453
505400,-11976.0,-0.022599999999922474
505450,-11950.0,-0.022599999999922474
505500,-11940.0,-0.022199999999922476
505550,-11938.0,-0.022799999999922473
505600,-11920.0,-0.02339999999992247
505650,-11908.0,-0.02299999999992247
505700,-11900.0,-0.02339999999992247
505750,-11920.0,-0.023999999999922465
505800,-11896.0,-0.023599999999922468
505850,-11872.0,-0.022799999999922473
505900,-11878.0,-0.02459999999992246
505950,-11868.0,-0.023999999999922465
506000,-11860.0,-0.024399999999922463
506050,-11852.0,-0.022599999999922474
506100,-11866.0,-0.02319999999992247
506150,-11862.0,-0.02499999999992246
506200,-11872.0,-0.024399999999922463
506250,-11872.0,-0.02459999999992246
506300,-11872.0,-0.02459999999992246
506350,-11866.0,-0.023799999999922467
506400,-11874.0,-0.02019999999992249
506450,-11880.0,-0.0183999999999225
506500,-11890.0,-0.016999999999922508
506550,-11910.0,-0.017399999999922505
506600,-11918.0,-0.017399999999922505
506650,-11914.0,-0.018799999999922497
506700,-11910.0,-0.015799999999922515
506750,-11900.0,-0.014399999999922511
506800,-11890.0,-0.016199999999922512
506850,-11888.0,-0.01639999999992251
506900,-11876.0,-0.015599999999922514
506950,-11888.0,-0.018599999999922498
507000,-11886.0,-0.0181999999999225
507050,-11894.0,-0.019399999999922493
507100,-11890.0,-0.02019999999992249
507150,-11896.0,-0.01979999999992249
507200,-11898.0,-0.018599999999922498
507250,-11898.0,-0.019599999999922492
507300,-11908.0,-0.019399999999922493
507350,-11904.0,-0.017799999999922503
507400,-11896.0,-0.016999999999922508
507450,-11906.0,-0.01679999999992251
507500,-11918.0,-0.016199999999922512
507550,-11926.0,-0.014599999999922512
507600,-11930.0,-0.012799999999922507
507650,-11954.0,-0.010799999999922502
507700,-11952.0,-0.012599999999922507
507750,-11954.0,-0.0103999999999225
507800,-11942.0,-0.0101999999999225
507850,-11942.0,-0.010799999999922502
507900,-11952.0,-0.011199999999922503
507950,-11966.0,-0.011399999999922503
508000,-11968.0,-0.011999999999922505
508050,-11988.0,-0.014399999999922511
508100,-11988.0,-0.014399999999922511
508150,-11990.0,-0.01419999999992251
508200,-12010.0,-0.011199999999922503
508250,-12012.0,-0.0099999999999225
508300,-12026.0,-0.008799999999922497
508350,-12002.0,-0.0099999999999225
508400,-12010.0,-0.008599999999922496
508450,-12010.0,-0.007799999999922495
508500,-11994.0,-0.007199999999922496
508550,-12006.0,-0.0067999999999224965
508600,-12012.0,-0.007599999999922495
508650,-12016.0,-0.008799999999922497
508700,-11998.0,-0.008799999999922497
508750,-11968.0,-0.008999999999922497
