n,E,M
500000,-12874.0,-0.02019999999992249
500050,-12878.0,-0.020999999999922483
500100,-12894.0,-0.01979999999992249
500150,-12898.0,-0.019199999999922494
500200,-12884.0,-0.019399999999922493
500250,-12880.0,-0.017799999999922503
500300,-12860.0,-0.016999999999922508
500350,-12868.0,-0.0179999999999225
500400,-12876.0,-0.0181999999999225
500450,-12882.0,-0.018599999999922498
500500,-12878.0,-0.017599999999922504
500550,-12862.0,-0.017399999999922505
500600,-12862.0,-0.01679999999992251
500650,-12872.0,-0.01679999999992251
500700,-12882.0,-0.01679999999992251
500750,-12882.0,-0.017799999999922503
500800,-12876.0,-0.01979999999992249
500850,-12876.0,-0.0183999999999225
500900,-12878.0,-0.019199999999922494
500950,-12896.0,-0.0179999999999225
501000,-12896.0,-0.017399999999922505
501050,-12910.0,-0.017799999999922503
501100,-12916.0,-0.0179999999999225
501150,-12908.0,-0.0181999999999225
501200,-12916.0,-0.0181999999999225
501250,-12922.0,-0.0179999999999225
501300,-12928.0,-0.0179999999999225
501350,-12936.0,-0.015999999999922514
501400,-12948.0,-0.0181999999999225
501450,-12948.0,-0.0181999999999225
501500,-12952.0,-0.017399999999922505
501550,-12954.0,-0.015799999999922515
501600,-12946.0,-0.01679999999992251
501650,-12940.0,-0.017199999999922506
501700,-12944.0,-0.015999999999922514
501750,-12942.0,-0.016999999999922508
501800,-12932.0,-0.017399999999922505
501850,-12926.0,-0.015999999999922514
501900,-12928.0,-0.01379999999992251
501950,-12926.0,-0.012799999999922507
502000,-12922.0,-0.012599999999922507
502050,-12924.0,-0.012399999999922506
502100,-12928.0,-0.012399999999922506
502150,-12924.0,-0.012599999999922507
502200,-12918.0,-0.0103999999999225
502250,-12930.0,-0.011799999999922504
502300,-12942.0,-0.0101999999999225
502350,-12962.0,-0.008999999999922497
502400,-12964.0,-0.007799999999922495
502450,-12958.0,-0.009399999999922498
502500,-12944.0,-0.0101999999999225
502550,-12936.0,-0.010599999999922501
502600,-12930.0,-0.011799999999922504
502650,-12934.0,-0.013399999999922509
502700,-12924.0,-0.012599999999922507
502750,-12914.0,-0.011999999999922505
502800,-12906.0,-0.01399999999992251
502850,-12904.0,-0.012399999999922506
502900,-12904.0,-0.014399999999922511
502950,-12900.0,-0.014399999999922511
503000,-12894.0,-0.015599999999922514
503050,-12886.0,-0.015199999999922513
503100,-12894.0,-0.014999999999922513
503150,-12902.0,-0.016199999999922512
503200,-12916.0,-0.016199999999922512
503250,-12932.0,-0.014599999999922512
503300,-12932.0,-0.01639999999992251
503350,-12924.0,-0.014999999999922513
503400,-12932.0,-0.01419999999992251
503450,-12908.0,-0.01379999999992251
503500,-12912.0,-0.01359999999992251
503550,-12914.0,-0.01399999999992251
503600,-12906.0,-0.01359999999992251
503650,-12896.0,-0.014399999999922511
503700,-12892.0,-0.014599999999922512
503750,-12878.0,-0.015799999999922515
503800,-12886.0,-0.015999999999922514
503850,-12882.0,-0.015999999999922514
503900,-12872.0,-0.01639999999992251
503950,-12866.0,-0.01679999999992251
504000,-12874.0,-0.019199999999922494
504050,-12878.0,-0.018999999999922496
504100,-12862.0,-0.020799999999922485
504150,-12868.0,-0.019599999999922492
504200,-12870.0,-0.01979999999992249
504250,-12870.0,-0.017399999999922505
504300,-12856.0,-0.0183999999999225
504350,-12850.0,-0.0183999999999225
504400,-12846.0,-0.01679999999992251
504450,-12858.0,-0.017799999999922503
504500,-12868.0,-0.018999999999922496
504550,-12864.0,-0.020399999999922487
504600,-12858.0,-0.02139999999992248
504650,-12868.0,-0.020599999999922486
504700,-12882.0,-0.01999999999992249
504750,-12892.0,-0.021199999999922482
504800,-12880.0,-0.019599999999922492
504850,-12884.0,-0.0183999999999225
504900,-12892.0,-0.020799999999922485
504950,-12896.0,-0.02179999999992248
505000,-12896.0,-0.022199999999922476
505050,-12882.0,-0.022599999999922474
505100,-12890.0,-0.023999999999922465
505150,-12886.0,-0.02299999999992247
505200,-12866.0,-0.022599999999922474
505250,-12874.0,-0.022399999999922475
505300,-12866.0,-0.02299999999992247
505350,-12876.0,-0.022599999999922474
505400,-12884.0,-0.02179999999992248
505450,-12892.0,-0.02139999999992248
505500,-12888.0,-0.01999999999992249
505550,-12872.0,-0.0181999999999225
505600,-12880.0,-0.018999999999922496
505650,-12882.0,-0.019399999999922493
505700,-12888.0,-0.02019999999992249
505750,-12898.0,-0.019199999999922494
505800,-12902.0,-0.02019999999992249
505850,-12906.0,-0.02159999999992248
505900,-12908.0,-0.021199999999922482
505950,-12908.0,-0.02019999999992249
506000,-12912.0,-0.018599999999922498
506050,-12900.0,-0.0181999999999225
506100,-12896.0,-0.016999999999922508
506150,-12902.0,-0.017399999999922505
506200,-12894.0,-0.018999999999922496
506250,-12888.0,-0.018999999999922496
506300,-12886.0,-0.0183999999999225
506350,-12892.0,-0.01979999999992249
506400,-12896.0,-0.01999999999992249
506450,-12890.0,-0.021199999999922482
506500,-12872.0,-0.021999999999922477
506550,-12874.0,-0.02139999999992248
506600,-12886.0,-0.02179999999992248
506650,-12896.0,-0.020399999999922487
506700,-12900.0,-0.018599999999922498
506750,-12934.0,-0.020399999999922487
506800,-12940.0,-0.020799999999922485
506850,-12966.0,-0.021999999999922477
506900,-12962.0,-0.022799999999922473
506950,-12968.0,-0.02319999999992247
507000,-12978.0,-0.02299999999992247
507050,-12974.0,-0.022799999999922473
507100,-12968.0,-0.023599999999922468
507150,-12964.0,-0.023599999999922468
507200,-12972.0,-0.02179999999992248
507250,-12976.0,-0.022399999999922475
507300,-12978.0,-0.022799999999922473
507350,-12966.0,-0.026199999999922452
507400,-12956.0,-0.02679999999992245
507450,-12964.0,-0.02819999999992244
507500,-12968.0,-0.028599999999922437
507550,-12974.0,-0.02959999999992243
507600,-12976.0,-0.028799999999922436
507650,-12982.0,-0.02959999999992243
507700,-12978.0,-0.030599999999922425
507750,-12964.0,-0.03199999999992242
507800,-12978.0,-0.0343999999999224
507850,-12966.0,-0.03319999999992241
507900,-12966.0,-0.03299999999992241
507950,-12964.0,-0.03359999999992241
508000,-12962.0,-0.035599999999922395
508050,-12976.0,-0.0351999999999224
508100,-12970.0,-0.03359999999992241
508150,-12962.0,-0.033999999999922405
508200,-12944.0,-0.0349999999999224
508250,-12946.0,-0.03319999999992241
508300,-12934.0,-0.03319999999992241
508350,-12924.0,-0.03359999999992241
508400,-12928.0,-0.033999999999922405
508450,-12942.0,-0.0343999999999224
508500,-12928.0,-0.033999999999922405
508550,-12922.0,-0.0347999999999224
508600,-12918.0,-0.0343999999999224
508650,-12920.0,-0.035399999999922396
508700,-12914.0,-0.035399999999922396
508750,-12910.0,-0.035599999999922395
508800,-12910.0,-0.0347999999999224
508850,-12920.0,-0.0345999999999224
508900,-12908.0,-0.033799999999922406
508950,-12908.0,-0.034199999999922404
509000,-12912.0,-0.032399999999922414
509050,-12904.0,-0.03259999999992241
509100,-12896.0,-0.034199999999922404
509150,-12906.0,-0.0351999999999224
509200,-12914.0,-0.034199999999922404
509250,-12910.0,-0.0347999999999224
509300,-12922.0,-0.0345999999999224
509350,-12914.0,-0.0343999999999224
509400,-12910.0,-0.034199999999922404
509450,-12912.0,-0.0349999999999224
509500,-12920.0,-0.03679999999992239
509550,-12924.0,-0.0351999999999224
509600,-12948.0,-0.0349999999999224
509650,-12948.0,-0.0347999999999224
509700,-12954.0,-0.03339999999992241
509750,-12934.0,-0.033799999999922406
509800,-12932.0,-0.0343999999999224
509850,-12930.0,-0.0345999999999224
509900,-12920.0,-0.03319999999992241
509950,-12926.0,-0.03339999999992241
510000,-12928.0,-0.03279999999992241
510050,-12926.0,-0.033999999999922405
510100,-12928.0,-0.03319999999992241
510150,-12914.0,-0.0349999999999224
510200,-12924.0,-0.0343999999999224
510250,-12914.0,-0.03319999999992241
510300,-12916.0,-0.03259999999992241
510350,-12912.0,-0.03179999999992242
510400,-12908.0,-0.03139999999992242
510450,-12902.0,-0.030799999999922424
510500,-12894.0,-0.03119999999992242
510550,-12900.0,-0.03159999999992242
510600,-12920.0,-0.030199999999922428
510650,-12916.0,-0.030799999999922424
510700,-12916.0,-0.030399999999922427
510750,-12908.0,-0.028999999999922435
510800,-12906.0,-0.030199999999922428
510850,-12904.0,-0.03179999999992242
510900,-12906.0,-0.030799999999922424
510950,-12908.0,-0.03119999999992242
511000,-12910.0,-0.029399999999922433
511050,-12896.0,-0.02959999999992243
511100,-12902.0,-0.030199999999922428
511150,-12894.0,-0.02999999999992243
511200,-12882.0,-0.028599999999922437
511250,-12906.0,-0.029199999999922434
511300,-12902.0,-0.029399999999922433
511350,-12908.0,-0.02959999999992243
511400,-12924.0,-0.02999999999992243
511450,-12922.0,-0.02979999999992243
511500,-12944.0,-0.028999999999922435
511550,-12926.0,-0.02959999999992243
511600,-12934.0,-0.030799999999922424
511650,-12932.0,-0.030399999999922427
511700,-12942.0,-0.029399999999922433
511750,-12930.0,-0.02839999999992244
511800,-12940.0,-0.028999999999922435
511850,-12930.0,-0.030999999999922423
511900,-12940.0,-0.03159999999992242
511950,-12944.0,-0.03159999999992242
512000,-12932.0,-0.03159999999992242
512050,-12934.0,-0.03179999999992242
512100,-12934.0,-0.03179999999992242
512150,-12936.0,-0.030399999999922427
512200,-12926.0,-0.029399999999922433
512250,-12926.0,-0.02999999999992243
512300,-12934.0,-0.030399999999922427
512350,-12942.0,-0.032399999999922414
512400,-12946.0,-0.03119999999992242
512450,-12936.0,-0.03179999999992242
512500,-12950.0,-0.03299999999992241
512550,-12946.0,-0.03339999999992241
512600,-12932.0,-0.03259999999992241
512650,-12950.0,-0.03199999999992242
512700,-12938.0,-0.03139999999992242
512750,-12940.0,-0.029399999999922433
512800,-12946.0,-0.030999999999922423
512850,-12942.0,-0.02959999999992243
512900,-12966.0,-0.030599999999922425
512950,-12944.0,-0.02999999999992243
513000,-12958.0,-0.030599999999922425
513050,-12946.0,-0.030199999999922428
513100,-12954.0,-0.030199999999922428
513150,-12952.0,-0.02959999999992243
513200,-12960.0,-0.030999999999922423
513250,-12968.0,-0.030799999999922424
513300,-12954.0,-0.029399999999922433
513350,-12958.0,-0.028999999999922435
513400,-12946.0,-0.028599999999922437
513450,-12926.0,-0.02839999999992244
513500,-12922.0,-0.028999999999922435
513550,-12922.0,-0.029399999999922433
513600,-12922.0,-0.030599999999922425
513650,-12910.0,-0.03359999999992241
513700,-12918.0,-0.034199999999922404
513750,-12926.0,-0.0351999999999224
513800,-12924.0,-0.03599999999992239
513850,-12922.0,-0.03599999999992239
513900,-12904.0,-0.03619999999992239
513950,-12896.0,-0.03799999999992238
514000,-12900.0,-0.03859999999992238
514050,-12912.0,-0.03639999999992239
514100,-12910.0,-0.03619999999992239
514150,-12898.0,-0.035599999999922395
514200,-12920.0,-0.03679999999992239
514250,-12920.0,-0.03619999999992239
514300,-12902.0,-0.035799999999922394
514350,-12894.0,-0.03619999999992239
514400,-12898.0,-0.03599999999992239
514450,-12896.0,-0.033799999999922406
514500,-12906.0,-0.030999999999922423
514550,-12912.0,-0.030399999999922427
514600,-12896.0,-0.030399999999922427
514650,-12900.0,-0.02999999999992243
514700,-12886.0,-0.029199999999922434
514750,-12890.0,-0.030199999999922428
514800,-12890.0,-0.029399999999922433
514850,-12898.0,-0.027799999999922442
514900,-12906.0,-0.02679999999992245
514950,-12900.0,-0.027599999999922444
515000,-12902.0,-0.02819999999992244
515050,-12896.0,-0.028599999999922437
515100,-12896.0,-0.028999999999922435
515150,-12908.0,-0.02999999999992243
515200,-12908.0,-0.030199999999922428
515250,-12908.0,-0.028999999999922435
515300,-12908.0,-0.027799999999922442
515350,-12908.0,-0.02839999999992244
515400,-12906.0,-0.02839999999992244
515450,-12914.0,-0.026999999999922447
515500,-12904.0,-0.026199999999922452
515550,-12910.0,-0.025799999999922454
515600,-12904.0,-0.023799999999922467
515650,-12914.0,-0.023599999999922468
515700,-12914.0,-0.022599999999922474
515750,-12906.0,-0.022399999999922475
515800,-12908.0,-0.022199999999922476
515850,-12906.0,-0.02299999999992247
515900,-12904.0,-0.022599999999922474
515950,-12904.0,-0.023999999999922465
516000,-12916.0,-0.02319999999992247
516050,-12910.0,-0.021999999999922477
516100,-12932.0,-0.022599999999922474
516150,-12928.0,-0.022599999999922474
516200,-12916.0,-0.02179999999992248
516250,-12922.0,-0.023599999999922468
516300,-12918.0,-0.024199999999922464
516350,-12922.0,-0.023799999999922467
516400,-12942.0,-0.023799999999922467
516450,-12936.0,-0.022599999999922474
516500,-12938.0,-0.020999999999922483
516550,-12938.0,-0.020599999999922486
516600,-12936.0,-0.020399999999922487
516650,-12948.0,-0.0181999999999225
516700,-12970.0,-0.018799999999922497
516750,-12978.0,-0.017799999999922503
516800,-12990.0,-0.0183999999999225
516850,-13006.0,-0.019199999999922494
516900,-12994.0,-0.019399999999922493
516950,-13008.0,-0.018999999999922496
517000,-13018.0,-0.017599999999922504
517050,-12990.0,-0.01659999999992251
517100,-12998.0,-0.017199999999922506
517150,-13002.0,-0.017399999999922505
517200,-12998.0,-0.0183999999999225
517250,-13002.0,-0.01999999999992249
517300,-12988.0,-0.018999999999922496
517350,-12998.0,-0.019199999999922494
517400,-12996.0,-0.018599999999922498
517450,-12988.0,-0.0183999999999225
517500,-12994.0,-0.02019999999992249
517550,-13002.0,-0.020799999999922485
517600,-12998.0,-0.01999999999992249
517650,-12988.0,-0.02019999999992249
517700,-12994.0,-0.019599999999922492
517750,-12990.0,-0.020999999999922483
517800,-12998.0,-0.02139999999992248
517850,-13004.0,-0.022799999999922473
517900,-13000.0,-0.022599999999922474
517950,-12992.0,-0.02299999999992247
518000,-12976.0,-0.02139999999992248
518050,-12980.0,-0.02139999999992248
518100,-12970.0,-0.020999999999922483
518150,-12976.0,-0.020599999999922486
518200,-12976.0,-0.019199999999922494
518250,-12978.0,-0.01999999999992249
518300,-12978.0,-0.020399999999922487
518350,-12974.0,-0.022399999999922475
518400,-12966.0,-0.02159999999992248
518450,-12964.0,-0.021999999999922477
518500,-12964.0,-0.022199999999922476
518550,-12966.0,-0.022599999999922474
518600,-12962.0,-0.02179999999992248
518650,-12950.0,-0.01999999999992249
518700,-12934.0,-0.02179999999992248
518750,-12926.0,-0.022399999999922475
518800,-12918.0,-0.02159999999992248
518850,-12914.0,-0.021999999999922477
518900,-12892.0,-0.022799999999922473
518950,-12900.0,-0.022199999999922476
519000,-12900.0,-0.02179999999992248
519050,-12904.0,-0.022399999999922475
519100,-12898.0,-0.023599999999922468
519150,-12900.0,-0.025799999999922454
519200,-12906.0,-0.027199999999922446
519250,-12908.0,-0.02639999999992245
519300,-12924.0,-0.027199999999922446
519350,-12922.0,-0.02679999999992245
519400,-12910.0,-0.02479999999992246
519450,-12890.0,-0.023999999999922465
519500,-12876.0,-0.02479999999992246
519550,-12884.0,-0.02459999999992246
519600,-12882.0,-0.02659999999992245
519650,-12868.0,-0.026199999999922452
519700,-12870.0,-0.026199999999922452
519750,-12860.0,-0.024199999999922464
519800,-12860.0,-0.02459999999992246
519850,-12854.0,-0.026199999999922452
519900,-12866.0,-0.025599999999922456
519950,-12880.0,-0.025999999999922453
520000,-12888.0,-0.025399999999922457
520050,-12882.0,-0.02499999999992246
520100,-12894.0,-0.02499999999992246
520150,-12892.0,-0.025199999999922458
520200,-12902.0,-0.024399999999922463
520250,-12914.0,-0.024399999999922463
520300,-12920.0,-0.022799999999922473
520350,-12910.0,-0.02319999999992247
520400,-12902.0,-0.02319999999992247
520450,-12894.0,-0.02179999999992248
520500,-12908.0,-0.022399999999922475
520550,-12906.0,-0.020999999999922483
520600,-12906.0,-0.01979999999992249
520650,-12906.0,-0.019399999999922493
520700,-12916.0,-0.019199999999922494
520750,-12936.0,-0.018999999999922496
520800,-12950.0,-0.01999999999992249
520850,-12936.0,-0.02159999999992248
520900,-12966.0,-0.022599999999922474
520950,-12954.0,-0.02339999999992247
521000,-12952.0,-0.022399999999922475
521050,-12946.0,-0.023599999999922468
521100,-12948.0,-0.025199999999922458
521150,-12948.0,-0.025599999999922456
521200,-12938.0,-0.02639999999992245
521250,-12928.0,-0.023999999999922465
521300,-12942.0,-0.023999999999922465
521350,-12942.0,-0.023599999999922468
521400,-12948.0,-0.022599999999922474
521450,-12948.0,-0.022399999999922475
521500,-12932.0,-0.021199999999922482
521550,-12942.0,-0.02019999999992249
521600,-12950.0,-0.01979999999992249
521650,-12956.0,-0.020999999999922483
521700,-12960.0,-0.021199999999922482
521750,-12972.0,-0.020399999999922487
521800,-12978.0,-0.020399999999922487
521850,-12984.0,-0.02019999999992249
521900,-12988.0,-0.021999999999922477
521950,-12994.0,-0.022599999999922474
522000,-13000.0,-0.023599999999922468
522050,-12988.0,-0.023799999999922467
522100,-12980.0,-0.023599999999922468
522150,-12986.0,-0.025999999999922453
522200,-12984.0,-0.027199999999922446
522250,-12976.0,-0.026999999999922447
522300,-12980.0,-0.027399999999922445
522350,-12982.0,-0.02659999999992245
522400,-12970.0,-0.02639999999992245
522450,-12990.0,-0.027399999999922445
522500,-12990.0,-0.02459999999992246
522550,-12984.0,-0.024399999999922463
522600,-12982.0,-0.023999999999922465
522650,-12982.0,-0.02459999999992246
522700,-12976.0,-0.023999999999922465
522750,-12996.0,-0.02479999999992246
522800,-13008.0,-0.025399999999922457
522850,-13024.0,-0.02679999999992245
522900,-13020.0,-0.026199999999922452
522950,-13016.0,-0.026199999999922452
523000,-12998.0,-0.027199999999922446
523050,-12990.0,-0.027599999999922444
523100,-12990.0,-0.02679999999992245
523150,-13010.0,-0.027199999999922446
523200,-13014.0,-0.02639999999992245
523250,-13026.0,-0.027799999999922442
523300,-13042.0,-0.02999999999992243
523350,-13030.0,-0.028599999999922437
523400,-13032.0,-0.027599999999922444
523450,-13036.0,-0.02799999999992244
523500,-13036.0,-0.02959999999992243
523550,-13044.0,-0.02999999999992243
523600,-13020.0,-0.02959999999992243
523650,-13024.0,-0.028999999999922435
523700,-13022.0,-0.030799999999922424
523750,-13026.0,-0.029399999999922433
523800,-13014.0,-0.02959999999992243
523850,-13002.0,-0.028999999999922435
523900,-13006.0,-0.028799999999922436
523950,-13022.0,-0.029399999999922433
524000,-13028.0,-0.029199999999922434
524050,-13026.0,-0.02839999999992244
524100,-13012.0,-0.027199999999922446
524150,-13004.0,-0.025199999999922458
524200,-13002.0,-0.026199999999922452
524250,-13002.0,-0.025999999999922453
524300,-12998.0,-0.025799999999922454
524350,-13010.0,-0.027599999999922444
524400,-13016.0,-0.028799999999922436
524450,-13012.0,-0.02979999999992243
524500,-13010.0,-0.030799999999922424
524550,-13018.0,-0.030199999999922428
524600,-13020.0,-0.029399999999922433
524650,-13010.0,-0.027799999999922442
524700,-13008.0,-0.02819999999992244
524750,-13018.0,-0.027599999999922444
524800,-13022.0,-0.027199999999922446
524850,-13028.0,-0.02799999999992244
524900,-13024.0,-0.028599999999922437
524950,-13036.0,-0.02799999999992244
525000,-13044.0,-0.02979999999992243
525050,-13054.0,-0.030599999999922425
525100,-13054.0,-0.030599999999922425
525150,-13044.0,-0.029399999999922433
525200,-13042.0,-0.030799999999922424
525250,-13042.0,-0.029399999999922433
525300,-13040.0,-0.030399999999922427
525350,-13026.0,-0.030399999999922427
525400,-13014.0,-0.028799999999922436
525450,-13012.0,-0.029399999999922433
525500,-13010.0,-0.030199999999922428
525550,-13008.0,-0.03119999999992242
525600,-13018.0,-0.03199999999992242
525650,-13014.0,-0.032399999999922414
525700,-13004.0,-0.03119999999992242
