n,E,M
500000,-12750.0,-0.012999999999922508
500050,-12744.0,-0.012199999999922505
500100,-12746.0,-0.011799999999922504
500150,-12730.0,-0.013199999999922508
500200,-12716.0,-0.01399999999992251
500250,-12722.0,-0.017799999999922503
500300,-12716.0,-0.018999999999922496
500350,-12722.0,-0.019399999999922493
500400,-12724.0,-0.01979999999992249
500450,-12714.0,-0.018999999999922496
500500,-12718.0,-0.01979999999992249
500550,-12720.0,-0.018999999999922496
500600,-12730.0,-0.0181999999999225
500650,-12730.0,-0.0181999999999225
500700,-12728.0,-0.018799999999922497
500750,-12742.0,-0.020399999999922487
500800,-12740.0,-0.020399999999922487
500850,-12750.0,-0.019599999999922492
500900,-12754.0,-0.02019999999992249
500950,-12766.0,-0.022599999999922474
501000,-12754.0,-0.020599999999922486
501050,-12736.0,-0.019599999999922492
501100,-12736.0,-0.020799999999922485
501150,-12742.0,-0.02019999999992249
501200,-12732.0,-0.01999999999992249
501250,-12730.0,-0.018799999999922497
501300,-12732.0,-0.018799999999922497
501350,-12722.0,-0.019399999999922493
501400,-12722.0,-0.018599999999922498
501450,-12708.0,-0.019399999999922493
501500,-12704.0,-0.0183999999999225
501550,-12728.0,-0.019199999999922494
501600,-12736.0,-0.020399999999922487
501650,-12728.0,-0.0183999999999225
501700,-12724.0,-0.017799999999922503
501750,-12720.0,-0.017399999999922505
501800,-12726.0,-0.017799999999922503
501850,-12728.0,-0.018999999999922496
501900,-12720.0,-0.018799999999922497
501950,-12724.0,-0.0181999999999225
502000,-12736.0,-0.0183999999999225
502050,-12742.0,-0.018999999999922496
502100,-12730.0,-0.0183999999999225
502150,-12738.0,-0.0181999999999225
502200,-12744.0,-0.017799999999922503
502250,-12740.0,-0.0179999999999225
502300,-12744.0,-0.017799999999922503
502350,-12744.0,-0.01639999999992251
502400,-12750.0,-0.015799999999922515
502450,-12742.0,-0.0179999999999225
502500,-12734.0,-0.0183999999999225
502550,-12720.0,-0.017799999999922503
502600,-12724.0,-0.01659999999992251
502650,-12716.0,-0.016999999999922508
502700,-12720.0,-0.017799999999922503
502750,-12720.0,-0.0179999999999225
502800,-12730.0,-0.017199999999922506
502850,-12732.0,-0.017199999999922506
502900,-12732.0,-0.01639999999992251
502950,-12728.0,-0.01659999999992251
503000,-12730.0,-0.015199999999922513
503050,-12714.0,-0.01399999999992251
503100,-12712.0,-0.012999999999922508
503150,-12694.0,-0.012199999999922505
503200,-12702.0,-0.0103999999999225
503250,-12694.0,-0.011599999999922504
503300,-12682.0,-0.012999999999922508
503350,-12678.0,-0.01399999999992251
503400,-12660.0,-0.013399999999922509
503450,-12660.0,-0.014399999999922511
503500,-12650.0,-0.013399999999922509
503550,-12644.0,-0.013199999999922508
503600,-12632.0,-0.012399999999922506
503650,-12638.0,-0.012999999999922508
503700,-12644.0,-0.014999999999922513
503750,-12650.0,-0.015599999999922514
503800,-12654.0,-0.01679999999992251
503850,-12654.0,-0.017799999999922503
503900,-12648.0,-0.017199999999922506
503950,-12636.0,-0.0181999999999225
504000,-12654.0,-0.020799999999922485
504050,-12654.0,-0.021999999999922477
504100,-12642.0,-0.022199999999922476
504150,-12620.0,-0.02139999999992248
504200,-12622.0,-0.02139999999992248
504250,-12604.0,-0.02159999999992248
504300,-12612.0,-0.020399999999922487
504350,-12590.0,-0.019199999999922494
504400,-12604.0,-0.020399999999922487
504450,-12608.0,-0.01979999999992249
504500,-12600.0,-0.02179999999992248
504550,-12604.0,-0.022399999999922475
504600,-12610.0,-0.02319999999992247
504650,-12616.0,-0.022399999999922475
504700,-12622.0,-0.02479999999992246
504750,-12610.0,-0.025199999999922458
504800,-12598.0,-0.022799999999922473
504850,-12586.0,-0.021999999999922477
504900,-12588.0,-0.020799999999922485
504950,-12584.0,-0.02179999999992248
505000,-12566.0,-0.02159999999992248
505050,-12568.0,-0.022599999999922474
505100,-12566.0,-0.02139999999992248
505150,-12552.0,-0.022399999999922475
505200,-12556.0,-0.021999999999922477
505250,-12546.0,-0.022399999999922475
505300,-12530.0,-0.02339999999992247
505350,-12524.0,-0.023599999999922468
505400,-12526.0,-0.02319999999992247
505450,-12524.0,-0.02499999999992246
505500,-12504.0,-0.025999999999922453
505550,-12510.0,-0.02659999999992245
505600,-12514.0,-0.02639999999992245
505650,-12490.0,-0.02499999999992246
505700,-12500.0,-0.02499999999992246
505750,-12506.0,-0.024399999999922463
505800,-12502.0,-0.025599999999922456
505850,-12484.0,-0.02639999999992245
505900,-12484.0,-0.02639999999992245
505950,-12496.0,-0.026199999999922452
506000,-12502.0,-0.026999999999922447
506050,-12492.0,-0.02799999999992244
506100,-12490.0,-0.02799999999992244
506150,-12494.0,-0.027599999999922444
506200,-12514.0,-0.025399999999922457
506250,-12508.0,-0.023999999999922465
506300,-12500.0,-0.023599999999922468
506350,-12502.0,-0.02339999999992247
506400,-12512.0,-0.020999999999922483
506450,-12526.0,-0.02179999999992248
506500,-12534.0,-0.02179999999992248
506550,-12526.0,-0.02179999999992248
506600,-12514.0,-0.02159999999992248
506650,-12508.0,-0.021999999999922477
506700,-12524.0,-0.020399999999922487
506750,-12552.0,-0.022599999999922474
506800,-12546.0,-0.022399999999922475
506850,-12544.0,-0.024199999999922464
506900,-12544.0,-0.02299999999992247
506950,-12544.0,-0.022799999999922473
507000,-12544.0,-0.024399999999922463
507050,-12540.0,-0.023599999999922468
507100,-12538.0,-0.021999999999922477
507150,-12530.0,-0.02019999999992249
507200,-12534.0,-0.020999999999922483
507250,-12548.0,-0.02019999999992249
507300,-12528.0,-0.018999999999922496
507350,-12542.0,-0.019599999999922492
507400,-12550.0,-0.019399999999922493
507450,-12548.0,-0.018999999999922496
507500,-12568.0,-0.019599999999922492
507550,-12576.0,-0.021199999999922482
507600,-12598.0,-0.019599999999922492
507650,-12612.0,-0.020599999999922486
507700,-12598.0,-0.019599999999922492
507750,-12600.0,-0.018999999999922496
507800,-12598.0,-0.01679999999992251
507850,-12590.0,-0.018599999999922498
507900,-12588.0,-0.017399999999922505
507950,-12580.0,-0.016999999999922508
508000,-12596.0,-0.016999999999922508
508050,-12600.0,-0.017799999999922503
508100,-12604.0,-0.01679999999992251
508150,-12590.0,-0.015999999999922514
508200,-12588.0,-0.015399999999922514
508250,-12578.0,-0.0179999999999225
508300,-12568.0,-0.018599999999922498
508350,-12554.0,-0.019199999999922494
508400,-12566.0,-0.018999999999922496
508450,-12560.0,-0.017199999999922506
508500,-12554.0,-0.0179999999999225
508550,-12546.0,-0.0183999999999225
508600,-12542.0,-0.0181999999999225
508650,-12554.0,-0.020799999999922485
508700,-12542.0,-0.019399999999922493
508750,-12536.0,-0.02019999999992249
508800,-12530.0,-0.020999999999922483
508850,-12530.0,-0.02139999999992248
508900,-12530.0,-0.02179999999992248
508950,-12530.0,-0.02159999999992248
509000,-12524.0,-0.020799999999922485
509050,-12508.0,-0.019599999999922492
509100,-12504.0,-0.019599999999922492
509150,-12510.0,-0.021199999999922482
509200,-12540.0,-0.02159999999992248
509250,-12546.0,-0.020799999999922485
509300,-12542.0,-0.022799999999922473
509350,-12538.0,-0.022399999999922475
509400,-12546.0,-0.02159999999992248
509450,-12552.0,-0.019599999999922492
