n,E,M
500000,-11404.0,-0.02339999999992247
500050,-11406.0,-0.023799999999922467
500100,-11408.0,-0.024399999999922463
500150,-11430.0,-0.025399999999922457
500200,-11428.0,-0.02339999999992247
500250,-11416.0,-0.021999999999922477
500300,-11432.0,-0.01979999999992249
500350,-11438.0,-0.022399999999922475
500400,-11420.0,-0.02139999999992248
500450,-11410.0,-0.02159999999992248
500500,-11400.0,-0.020999999999922483
500550,-11400.0,-0.0183999999999225
500600,-11396.0,-0.020399999999922487
500650,-11408.0,-0.022199999999922476
500700,-11410.0,-0.020399999999922487
500750,-11398.0,-0.01999999999992249
500800,-11404.0,-0.018799999999922497
500850,-11396.0,-0.017799999999922503
500900,-11394.0,-0.0179999999999225
500950,-11386.0,-0.0179999999999225
501000,-11370.0,-0.02139999999992248
501050,-11372.0,-0.020999999999922483
501100,-11366.0,-0.02159999999992248
501150,-11370.0,-0.02179999999992248
501200,-11384.0,-0.021199999999922482
501250,-11380.0,-0.020999999999922483
501300,-11404.0,-0.020399999999922487
501350,-11396.0,-0.0179999999999225
501400,-11392.0,-0.018799999999922497
501450,-11378.0,-0.0179999999999225
501500,-11382.0,-0.019399999999922493
501550,-11370.0,-0.019399999999922493
501600,-11380.0,-0.019399999999922493
501650,-11370.0,-0.017799999999922503
501700,-11390.0,-0.017399999999922505
501750,-11412.0,-0.0179999999999225
501800,-11414.0,-0.015799999999922515
501850,-11416.0,-0.015599999999922514
501900,-11412.0,-0.01359999999992251
501950,-11414.0,-0.01359999999992251
502000,-11412.0,-0.01379999999992251
502050,-11406.0,-0.01379999999992251
502100,-11414.0,-0.015199999999922513
502150,-11410.0,-0.01359999999992251
502200,-11416.0,-0.013399999999922509
502250,-11428.0,-0.012199999999922505
502300,-11446.0,-0.011199999999922503
502350,-11434.0,-0.012199999999922505
502400,-11454.0,-0.011399999999922503
502450,-11470.0,-0.01399999999992251
502500,-11486.0,-0.015799999999922515
502550,-11474.0,-0.014599999999922512
502600,-11470.0,-0.01659999999992251
502650,-11452.0,-0.0181999999999225
502700,-11468.0,-0.017799999999922503
502750,-11472.0,-0.017799999999922503
502800,-11470.0,-0.015999999999922514
502850,-11442.0,-0.017199999999922506
502900,-11450.0,-0.0179999999999225
502950,-11470.0,-0.018599999999922498
503000,-11490.0,-0.0181999999999225
503050,-11482.0,-0.018999999999922496
503100,-11466.0,-0.018599999999922498
503150,-11456.0,-0.0181999999999225
503200,-11464.0,-0.015199999999922513
503250,-11444.0,-0.01399999999992251
503300,-11416.0,-0.014999999999922513
503350,-11406.0,-0.014799999999922512
503400,-11396.0,-0.017399999999922505
503450,-11402.0,-0.015999999999922514
503500,-11398.0,-0.015199999999922513
503550,-11394.0,-0.01419999999992251
503600,-11386.0,-0.01419999999992251
503650,-11366.0,-0.013199999999922508
503700,-11376.0,-0.013199999999922508
503750,-11354.0,-0.011799999999922504
503800,-11344.0,-0.013399999999922509
503850,-11326.0,-0.015199999999922513
503900,-11320.0,-0.013399999999922509
503950,-11312.0,-0.013199999999922508
504000,-11312.0,-0.013399999999922509
504050,-11306.0,-0.011199999999922503
504100,-11312.0,-0.010799999999922502
504150,-11334.0,-0.011599999999922504
504200,-11344.0,-0.010599999999922501
504250,-11330.0,-0.010599999999922501
504300,-11334.0,-0.0101999999999225
504350,-11332.0,-0.0103999999999225
504400,-11334.0,-0.011399999999922503
504450,-11360.0,-0.008799999999922497
504500,-11370.0,-0.010999999999922502
504550,-11380.0,-0.008399999999922496
504600,-11368.0,-0.005399999999922499
504650,-11360.0,-0.006399999999922497
504700,-11346.0,-0.0021999999999225005
504750,-11336.0,7.750001812176222e-14
504800,-11344.0,-0.0013999999999225001
504850,-11358.0,0.00040000000007750004
504900,-11354.0,0.002800000000077501
504950,-11358.0,0.0040000000000775015
505000,-11364.0,0.0016000000000775004
505050,-11366.0,0.003000000000077501
505100,-11364.0,0.003200000000077501
505150,-11372.0,0.00020000000007750014
505200,-11376.0,-0.0007999999999224999
505250,-11374.0,-0.0003999999999225
505300,-11372.0,-0.0009999999999225
505350,-11364.0,-0.0013999999999225001
505400,-11370.0,-0.0007999999999225
505450,-11356.0,-0.0025999999999225007
505500,-11348.0,-0.003999999999922501
505550,-11350.0,-0.0047999999999225
505600,-11352.0,-0.004199999999922501
505650,-11340.0,-0.003999999999922501
505700,-11354.0,-0.006599999999922497
505750,-11362.0,-0.0073999999999224955
505800,-11360.0,-0.0061999999999224975
505850,-11368.0,-0.0061999999999224975
505900,-11368.0,-0.008399999999922496
505950,-11392.0,-0.0097999999999225
506000,-11398.0,-0.011199999999922503
506050,-11402.0,-0.0101999999999225
506100,-11374.0,-0.011599999999922504
506150,-11372.0,-0.012599999999922507
506200,-11376.0,-0.012999999999922508
506250,-11356.0,-0.01359999999992251
506300,-11358.0,-0.012999999999922508
506350,-11364.0,-0.014999999999922513
506400,-11382.0,-0.014799999999922512
506450,-11394.0,-0.013199999999922508
506500,-11398.0,-0.011599999999922504
506550,-11386.0,-0.011399999999922503
506600,-11382.0,-0.010599999999922501
506650,-11390.0,-0.012399999999922506
506700,-11378.0,-0.012599999999922507
506750,-11362.0,-0.012199999999922505
506800,-11374.0,-0.010599999999922501
506850,-11356.0,-0.013399999999922509
506900,-11366.0,-0.012199999999922505
506950,-11388.0,-0.012599999999922507
507000,-11412.0,-0.0101999999999225
507050,-11426.0,-0.0101999999999225
507100,-11434.0,-0.008799999999922497
507150,-11446.0,-0.009599999999922499
507200,-11444.0,-0.005999999999922498
507250,-11424.0,-0.005399999999922499
507300,-11410.0,-0.006399999999922497
507350,-11418.0,-0.005599999999922499
507400,-11430.0,-0.005799999999922498
507450,-11428.0,-0.0037999999999225012
507500,-11416.0,-0.005199999999922499
507550,-11414.0,-0.008199999999922495
507600,-11400.0,-0.0067999999999224965
507650,-11392.0,-0.006399999999922497
507700,-11402.0,-0.005799999999922498
507750,-11394.0,-0.004399999999922501
507800,-11410.0,-0.003999999999922501
507850,-11390.0,-0.003599999999922501
507900,-11408.0,-0.0023999999999225006
507950,-11416.0,-0.003399999999922501
508000,-11406.0,-0.0045999999999225
508050,-11412.0,-0.0027999999999225008
508100,-11418.0,-0.0025999999999225007
508150,-11414.0,-0.003999999999922501
508200,-11406.0,-0.003199999999922501
508250,-11402.0,-0.002999999999922501
508300,-11406.0,-0.0045999999999225
508350,-11418.0,-0.003599999999922501
508400,-11420.0,-0.0021999999999225005
508450,-11422.0,-0.0013999999999225001
508500,-11426.0,-0.0019999999999225004
508550,-11400.0,-0.0027999999999225008
508600,-11402.0,-0.0049999999999225
508650,-11412.0,-0.004199999999922501
508700,-11406.0,-0.0019999999999225004
508750,-11394.0,-0.0003999999999225
508800,-11380.0,0.0006000000000775
508850,-11386.0,0.0006000000000775001
508900,-11364.0,0.0014000000000775003
508950,-11360.0,0.003000000000077501
509000,-11366.0,0.0018000000000775005
509050,-11382.0,0.0038000000000775014
509100,-11384.0,0.005400000000077499
509150,-11370.0,0.006000000000077498
509200,-11370.0,0.0046000000000775
509250,-11384.0,0.005200000000077499
509300,-11394.0,0.006400000000077497
509350,-11398.0,0.006600000000077497
509400,-11388.0,0.005800000000077498
509450,-11398.0,0.005400000000077499
509500,-11382.0,0.006200000000077498
509550,-11384.0,0.008200000000077496
509600,-11382.0,0.0068000000000774975
509650,-11382.0,0.007000000000077497
509700,-11382.0,0.006600000000077498
509750,-11382.0,0.007800000000077496
509800,-11394.0,0.009200000000077499
509850,-11394.0,0.009200000000077499
509900,-11394.0,0.008200000000077496
509950,-11386.0,0.007200000000077497
510000,-11388.0,0.0054000000000775
510050,-11388.0,0.009200000000077499
510100,-11398.0,0.0094000000000775
510150,-11428.0,0.0096000000000775
510200,-11416.0,0.0098000000000775
510250,-11420.0,0.008400000000077497
510300,-11416.0,0.008200000000077496
510350,-11418.0,0.008800000000077498
510400,-11390.0,0.007000000000077497
510450,-11390.0,0.0062000000000774986
510500,-11396.0,0.0052000000000775
510550,-11384.0,0.0056000000000775
510600,-11380.0,0.0038000000000775022
510650,-11368.0,0.004600000000077501
510700,-11360.0,0.0056000000000775
510750,-11362.0,0.004600000000077501
510800,-11370.0,0.0054000000000775
510850,-11374.0,0.003400000000077502
510900,-11380.0,0.005800000000077499
510950,-11392.0,0.0068000000000774975
511000,-11374.0,0.005800000000077499
511050,-11370.0,0.004600000000077501
511100,-11372.0,0.004800000000077501
511150,-11366.0,0.0054000000000775
511200,-11362.0,0.0074000000000774965
511250,-11372.0,0.0068000000000774975
511300,-11362.0,0.0062000000000774986
511350,-11362.0,0.0062000000000774986
511400,-11382.0,0.005800000000077499
511450,-11390.0,0.005800000000077499
511500,-11386.0,0.0052000000000775
511550,-11388.0,0.003600000000077502
511600,-11404.0,0.003400000000077502
511650,-11402.0,0.0026000000000775017
511700,-11404.0,0.0022000000000775015
511750,-11404.0,0.003400000000077502
511800,-11420.0,0.003000000000077502
511850,-11406.0,0.0038000000000775022
511900,-11420.0,0.003200000000077502
511950,-11426.0,0.0028000000000775018
512000,-11410.0,-0.000999999999922499
512050,-11418.0,-0.0013999999999224993
512100,-11422.0,-0.0031999999999225
512150,-11420.0,-0.0033999999999225
512200,-11424.0,-0.0037999999999225004
512250,-11414.0,-0.0043999999999225
512300,-11432.0,-0.0027999999999225
512350,-11434.0,-0.0031999999999225
512400,-11430.0,-0.0037999999999225004
512450,-11428.0,-0.0041999999999225
512500,-11464.0,-0.0021999999999224996
512550,-11458.0,-0.0027999999999225
512600,-11452.0,-0.0027999999999225
512650,-11452.0,-0.0023999999999224997
512700,-11464.0,0.0002000000000775009
512750,-11466.0,0.001200000000077501
512800,-11452.0,-0.00019999999992249902
512850,-11420.0,0.0022000000000775015
512900,-11438.0,0.000800000000077501
512950,-11430.0,-0.000399999999922499
513000,-11446.0,-0.00019999999992249902
513050,-11418.0,-0.000399999999922499
513100,-11428.0,-0.0033999999999225
513150,-11432.0,-0.0029999999999225
513200,-11418.0,-0.005199999999922498
513250,-11416.0,-0.005199999999922498
513300,-11436.0,-0.005999999999922497
513350,-11438.0,-0.008199999999922495
513400,-11438.0,-0.0073999999999224955
513450,-11402.0,-0.0045999999999225
513500,-11390.0,-0.005199999999922499
513550,-11372.0,-0.007999999999922494
513600,-11388.0,-0.008999999999922497
513650,-11400.0,-0.008599999999922496
513700,-11398.0,-0.008399999999922496
513750,-11386.0,-0.009399999999922498
513800,-11382.0,-0.008399999999922496
513850,-11378.0,-0.008599999999922496
513900,-11380.0,-0.007799999999922495
513950,-11388.0,-0.008599999999922496
514000,-11386.0,-0.010599999999922501
514050,-11372.0,-0.011799999999922504
514100,-11368.0,-0.010799999999922502
514150,-11350.0,-0.010599999999922501
514200,-11340.0,-0.009599999999922499
514250,-11328.0,-0.010799999999922502
514300,-11342.0,-0.012999999999922508
514350,-11348.0,-0.01379999999992251
514400,-11338.0,-0.01419999999992251
514450,-11336.0,-0.01639999999992251
514500,-11346.0,-0.017799999999922503
514550,-11362.0,-0.018999999999922496
514600,-11360.0,-0.017599999999922504
514650,-11330.0,-0.01659999999992251
514700,-11340.0,-0.017399999999922505
514750,-11352.0,-0.01999999999992249
514800,-11356.0,-0.019599999999922492
514850,-11330.0,-0.02139999999992248
514900,-11320.0,-0.020799999999922485
514950,-11326.0,-0.021999999999922477
515000,-11328.0,-0.021199999999922482
515050,-11334.0,-0.020799999999922485
515100,-11334.0,-0.02139999999992248
515150,-11318.0,-0.020999999999922483
515200,-11314.0,-0.02019999999992249
515250,-11334.0,-0.018999999999922496
515300,-11332.0,-0.018799999999922497
515350,-11334.0,-0.01679999999992251
515400,-11334.0,-0.017799999999922503
515450,-11358.0,-0.0179999999999225
515500,-11350.0,-0.0179999999999225
515550,-11374.0,-0.018799999999922497
515600,-11354.0,-0.017199999999922506
515650,-11350.0,-0.0183999999999225
515700,-11348.0,-0.020999999999922483
515750,-11358.0,-0.02159999999992248
515800,-11372.0,-0.020999999999922483
515850,-11362.0,-0.020399999999922487
515900,-11372.0,-0.01999999999992249
515950,-11352.0,-0.018999999999922496
516000,-11344.0,-0.01659999999992251
516050,-11318.0,-0.016999999999922508
516100,-11310.0,-0.01659999999992251
516150,-11314.0,-0.014799999999922512
516200,-11316.0,-0.014999999999922513
516250,-11332.0,-0.013199999999922508
516300,-11328.0,-0.01379999999992251
516350,-11338.0,-0.013399999999922509
516400,-11334.0,-0.013399999999922509
516450,-11338.0,-0.011199999999922503
516500,-11356.0,-0.0099999999999225
516550,-11366.0,-0.009599999999922499
516600,-11390.0,-0.008799999999922497
516650,-11382.0,-0.007599999999922495
516700,-11394.0,-0.006999999999922496
516750,-11394.0,-0.006399999999922497
516800,-11388.0,-0.006599999999922497
516850,-11388.0,-0.007999999999922494
516900,-11388.0,-0.007199999999922496
516950,-11378.0,-0.005599999999922499
517000,-11388.0,-0.003599999999922501
517050,-11380.0,-0.0047999999999225
517100,-11380.0,-0.004399999999922501
517150,-11366.0,-0.004399999999922501
517200,-11344.0,-0.005399999999922499
517250,-11360.0,-0.005799999999922498
517300,-11358.0,-0.0067999999999224965
517350,-11344.0,-0.006599999999922497
517400,-11346.0,-0.007599999999922495
517450,-11344.0,-0.008999999999922497
517500,-11352.0,-0.010999999999922502
517550,-11340.0,-0.010799999999922502
517600,-11364.0,-0.008999999999922497
517650,-11350.0,-0.009599999999922499
517700,-11358.0,-0.010599999999922501
517750,-11358.0,-0.0099999999999225
517800,-11364.0,-0.011999999999922505
517850,-11352.0,-0.010599999999922501
517900,-11340.0,-0.010999999999922502
517950,-11326.0,-0.007599999999922495
518000,-11324.0,-0.006399999999922497
518050,-11332.0,-0.0061999999999224975
518100,-11338.0,-0.005399999999922499
518150,-11334.0,-0.005999999999922498
518200,-11340.0,-0.005999999999922498
518250,-11338.0,-0.008199999999922495
518300,-11344.0,-0.012399999999922506
518350,-11324.0,-0.011199999999922503
518400,-11318.0,-0.010599999999922501
518450,-11318.0,-0.010799999999922502
518500,-11328.0,-0.011999999999922505
518550,-11312.0,-0.010799999999922502
518600,-11312.0,-0.011599999999922504
518650,-11322.0,-0.013199999999922508
518700,-11340.0,-0.012799999999922507
518750,-11340.0,-0.011999999999922505
518800,-11334.0,-0.012599999999922507
518850,-11348.0,-0.014599999999922512
518900,-11346.0,-0.016199999999922512
518950,-11344.0,-0.01639999999992251
519000,-11334.0,-0.0183999999999225
519050,-11354.0,-0.01639999999992251
519100,-11358.0,-0.01639999999992251
519150,-11348.0,-0.018799999999922497
519200,-11356.0,-0.018799999999922497
519250,-11366.0,-0.01679999999992251
519300,-11374.0,-0.016999999999922508
519350,-11368.0,-0.017199999999922506
519400,-11370.0,-0.016999999999922508
519450,-11380.0,-0.01679999999992251
519500,-11396.0,-0.017199999999922506
519550,-11392.0,-0.0183999999999225
519600,-11408.0,-0.01999999999992249
519650,-11402.0,-0.020999999999922483
519700,-11398.0,-0.017799999999922503
519750,-11398.0,-0.019599999999922492
519800,-11388.0,-0.0181999999999225
519850,-11412.0,-0.019399999999922493
519900,-11400.0,-0.020599999999922486
519950,-11380.0,-0.022399999999922475
520000,-11386.0,-0.02499999999992246
520050,-11380.0,-0.02679999999992245
520100,-11388.0,-0.02679999999992245
520150,-11374.0,-0.027399999999922445
520200,-11346.0,-0.025799999999922454
520250,-11344.0,-0.02459999999992246
520300,-11354.0,-0.027199999999922446
520350,-11352.0,-0.02479999999992246
520400,-11372.0,-0.02679999999992245
520450,-11380.0,-0.02659999999992245
520500,-11372.0,-0.02819999999992244
520550,-11364.0,-0.02979999999992243
520600,-11356.0,-0.02999999999992243
520650,-11380.0,-0.027599999999922444
520700,-11364.0,-0.027799999999922442
520750,-11372.0,-0.02659999999992245
520800,-11360.0,-0.026999999999922447
520850,-11358.0,-0.025599999999922456
520900,-11360.0,-0.023799999999922467
520950,-11358.0,-0.023599999999922468
521000,-11354.0,-0.02499999999992246
521050,-11376.0,-0.025199999999922458
521100,-11378.0,-0.02659999999992245
521150,-11376.0,-0.02499999999992246
521200,-11382.0,-0.02299999999992247
521250,-11394.0,-0.023999999999922465
521300,-11414.0,-0.025599999999922456
521350,-11424.0,-0.027399999999922445
521400,-11414.0,-0.027799999999922442
521450,-11414.0,-0.028999999999922435
521500,-11402.0,-0.030199999999922428
521550,-11380.0,-0.029399999999922433
521600,-11360.0,-0.030399999999922427
521650,-11352.0,-0.030999999999922423
521700,-11368.0,-0.03139999999992242
521750,-11372.0,-0.03199999999992242
521800,-11376.0,-0.032399999999922414
521850,-11378.0,-0.03159999999992242
521900,-11394.0,-0.03139999999992242
521950,-11378.0,-0.02839999999992244
522000,-11386.0,-0.026199999999922452
522050,-11386.0,-0.025999999999922453
522100,-11376.0,-0.027199999999922446
522150,-11366.0,-0.02639999999992245
522200,-11372.0,-0.02659999999992245
522250,-11374.0,-0.026999999999922447
522300,-11376.0,-0.025799999999922454
522350,-11368.0,-0.025399999999922457
522400,-11354.0,-0.027199999999922446
522450,-11346.0,-0.025799999999922454
522500,-11328.0,-0.025799999999922454
522550,-11310.0,-0.02839999999992244
522600,-11306.0,-0.03119999999992242
522650,-11330.0,-0.03359999999992241
522700,-11328.0,-0.03319999999992241
522750,-11322.0,-0.032199999999922416
522800,-11338.0,-0.03279999999992241
522850,-11318.0,-0.03159999999992242
522900,-11314.0,-0.03139999999992242
522950,-11338.0,-0.02839999999992244
523000,-11346.0,-0.027799999999922442
