n,E,M
500000,-19992.0,0.9996
500050,-19992.0,0.9996
500100,-19992.0,0.9996
500150,-19992.0,0.9996
500200,-19992.0,0.9996
500250,-19992.0,0.9996
500300,-19992.0,0.9996
500350,-19992.0,0.9996
500400,-19992.0,0.9996
500450,-19992.0,0.9996
500500,-19992.0,0.9996
500550,-19992.0,0.9996
500600,-19992.0,0.9996
500650,-19992.0,0.9996
500700,-19992.0,0.9996
500750,-19992.0,0.9996
500800,-19992.0,0.9996
500850,-19992.0,0.9996
500900,-19992.0,0.9996
500950,-19992.0,0.9996
501000,-19992.0,0.9996
501050,-19992.0,0.9996
501100,-19992.0,0.9996
501150,-19992.0,0.9996
501200,-19992.0,0.9996
501250,-19992.0,0.9996
501300,-19992.0,0.9996
501350,-19992.0,0.9996
501400,-19992.0,0.9996
501450,-19992.0,0.9996
501500,-19992.0,0.9996
501550,-19992.0,0.9996
501600,-19992.0,0.9996
501650,-19992.0,0.9996
501700,-19992.0,0.9996
501750,-19992.0,0.9996
501800,-19992.0,0.9996
501850,-19992.0,0.9996
501900,-19992.0,0.9996
501950,-19992.0,0.9996
502000,-19992.0,0.9996
502050,-19992.0,0.9996
502100,-19992.0,0.9996
502150,-19992.0,0.9996
502200,-19992.0,0.9996
502250,-19992.0,0.9996
502300,-19992.0,0.9996
502350,-19992.0,0.9996
502400,-19992.0,0.9996
502450,-19992.0,0.9996
502500,-19992.0,0.9996
502550,-19992.0,0.9996
502600,-19992.0,0.9996
502650,-19992.0,0.9996
502700,-19992.0,0.9996
502750,-19992.0,0.9996
502800,-19992.0,0.9996
502850,-19992.0,0.9996
502900,-19992.0,0.9996
502950,-19992.0,0.9996
503000,-19992.0,0.9996
503050,-19992.0,0.9996
503100,-19992.0,0.9996
503150,-19992.0,0.9996
503200,-19992.0,0.9996
503250,-19992.0,0.9996
503300,-19992.0,0.9996
503350,-19992.0,0.9996
503400,-19992.0,0.9996
503450,-19992.0,0.9996
503500,-19992.0,0.9996
503550,-19992.0,0.9996
503600,-19992.0,0.9996
503650,-19992.0,0.9996
503700,-19992.0,0.9996
503750,-19992.0,0.9996
503800,-19992.0,0.9996
503850,-19992.0,0.9996
503900,-19992.0,0.9996
503950,-19992.0,0.9996
504000,-19992.0,0.9996
504050,-19992.0,0.9996
504100,-19992.0,0.9996
504150,-19992.0,0.9996
504200,-19992.0,0.9996
504250,-19992.0,0.9996
504300,-19992.0,0.9996
504350,-19992.0,0.9996
504400,-19992.0,0.9996
504450,-19992.0,0.9996
504500,-19992.0,0.9996
504550,-19992.0,0.9996
504600,-19992.0,0.9996
504650,-19992.0,0.9996
504700,-19992.0,0.9996
504750,-19992.0,0.9996
504800,-19992.0,0.9996
504850,-19992.0,0.9996
504900,-19992.0,0.9996
504950,-19992.0,0.9996
505000,-19992.0,0.9996
505050,-19992.0,0.9996
505100,-19992.0,0.9996
505150,-19992.0,0.9996
505200,-19992.0,0.9996
505250,-19992.0,0.9996
505300,-19992.0,0.9996
505350,-19992.0,0.9996
505400,-19988.0,0.9994000000000001
505450,-19988.0,0.9994000000000001
505500,-19988.0,0.9994000000000001
505550,-19988.0,0.9994000000000001
505600,-19988.0,0.9994000000000001
505650,-19988.0,0.9994000000000001
505700,-19988.0,0.9994000000000001
505750,-19988.0,0.9994000000000001
505800,-19988.0,0.9994000000000001
505850,-19988.0,0.9994000000000001
505900,-19984.0,0.9992000000000001
505950,-19984.0,0.9992000000000001
506000,-19984.0,0.9992000000000001
506050,-19984.0,0.9992000000000001
506100,-19984.0,0.9992000000000001
506150,-19984.0,0.9992000000000001
506200,-19984.0,0.9992000000000001
506250,-19984.0,0.9992000000000001
506300,-19984.0,0.9992000000000001
506350,-19984.0,0.9992000000000001
506400,-19984.0,0.9992000000000001
506450,-19984.0,0.9992000000000001
506500,-19984.0,0.9992000000000001
506550,-19984.0,0.9992000000000001
506600,-19984.0,0.9992000000000001
506650,-19984.0,0.9992000000000001
506700,-19984.0,0.9992000000000001
506750,-19988.0,0.9994000000000001
506800,-19988.0,0.9994000000000001
506850,-19988.0,0.9994000000000001
506900,-19988.0,0.9994000000000001
506950,-19988.0,0.9994000000000001
507000,-19988.0,0.9994000000000001
507050,-19988.0,0.9994000000000001
507100,-19988.0,0.9994000000000001
507150,-19988.0,0.9994000000000001
507200,-19988.0,0.9994000000000001
507250,-19988.0,0.9994000000000001
507300,-19988.0,0.9994000000000001
507350,-19988.0,0.9994000000000001
507400,-19988.0,0.9994000000000001
507450,-19988.0,0.9994000000000001
507500,-19988.0,0.9994000000000001
507550,-19988.0,0.9994000000000001
507600,-19988.0,0.9994000000000001
507650,-19988.0,0.9994000000000001
507700,-19988.0,0.9994000000000001
507750,-19988.0,0.9994000000000001
507800,-19988.0,0.9994000000000001
507850,-19988.0,0.9994000000000001
507900,-19988.0,0.9994000000000001
507950,-19988.0,0.9994000000000001
508000,-19988.0,0.9994000000000001
508050,-19988.0,0.9994000000000001
508100,-19988.0,0.9994000000000001
508150,-19988.0,0.9994000000000001
508200,-19988.0,0.9994000000000001
508250,-19988.0,0.9994000000000001
508300,-19988.0,0.9994000000000001
508350,-19988.0,0.9994000000000001
508400,-19988.0,0.9994000000000001
508450,-19988.0,0.9994000000000001
508500,-19988.0,0.9994000000000001
508550,-19988.0,0.9994000000000001
508600,-19988.0,0.9994000000000001
508650,-19988.0,0.9994000000000001
508700,-19988.0,0.9994000000000001
508750,-19988.0,0.9994000000000001
508800,-19988.0,0.9994000000000001
508850,-19988.0,0.9994000000000001
508900,-19988.0,0.9994000000000001
508950,-19988.0,0.9994000000000001
509000,-19988.0,0.9994000000000001
509050,-19988.0,0.9994000000000001
509100,-19988.0,0.9994000000000001
509150,-19988.0,0.9994000000000001
509200,-19988.0,0.9994000000000001
509250,-19988.0,0.9994000000000001
509300,-19988.0,0.9994000000000001
509350,-19988.0,0.9994000000000001
509400,-19992.0,0.9996
509450,-19992.0,0.9996
509500,-19992.0,0.9996
509550,-19992.0,0.9996
509600,-19992.0,0.9996
509650,-19992.0,0.9996
509700,-19992.0,0.9996
509750,-19992.0,0.9996
509800,-19992.0,0.9996
509850,-19992.0,0.9996
509900,-19992.0,0.9996
509950,-19992.0,0.9996
510000,-19992.0,0.9996
510050,-19992.0,0.9996
510100,-19992.0,0.9996
510150,-19992.0,0.9996
510200,-19992.0,0.9996
510250,-19992.0,0.9996
510300,-19992.0,0.9996
510350,-19992.0,0.9996
510400,-19992.0,0.9996
510450,-19992.0,0.9996
510500,-19992.0,0.9996
510550,-19992.0,0.9996
510600,-19992.0,0.9996
510650,-19996.0,0.9998
510700,-19996.0,0.9998
510750,-19996.0,0.9998
510800,-19996.0,0.9998
510850,-19996.0,0.9998
510900,-19996.0,0.9998
510950,-19996.0,0.9998
511000,-19996.0,0.9998
511050,-19996.0,0.9998
511100,-19996.0,0.9998
511150,-19996.0,0.9998
511200,-19996.0,0.9998
511250,-19996.0,0.9998
511300,-19996.0,0.9998
511350,-19996.0,0.9998
511400,-19996.0,0.9998
511450,-19992.0,0.9996
511500,-19992.0,0.9996
511550,-19992.0,0.9996
511600,-19992.0,0.9996
511650,-19992.0,0.9996
511700,-19992.0,0.9996
511750,-19992.0,0.9996
511800,-19992.0,0.9996
511850,-19992.0,0.9996
511900,-19992.0,0.9996
511950,-19992.0,0.9996
512000,-19992.0,0.9996
512050,-19992.0,0.9996
512100,-19992.0,0.9996
512150,-19992.0,0.9996
512200,-19992.0,0.9996
512250,-19992.0,0.9996
512300,-19992.0,0.9996
512350,-19992.0,0.9996
512400,-19992.0,0.9996
512450,-19992.0,0.9996
512500,-19992.0,0.9996
512550,-19992.0,0.9996
512600,-19992.0,0.9996
512650,-19992.0,0.9996
512700,-19992.0,0.9996
512750,-19992.0,0.9996
512800,-19992.0,0.9996
512850,-19992.0,0.9996
512900,-19992.0,0.9996
512950,-19992.0,0.9996
513000,-19992.0,0.9996
513050,-19992.0,0.9996
513100,-19992.0,0.9996
513150,-19992.0,0.9996
513200,-19992.0,0.9996
513250,-19992.0,0.9996
513300,-19992.0,0.9996
513350,-19992.0,0.9996
513400,-19992.0,0.9996
513450,-19992.0,0.9996
513500,-19992.0,0.9996
513550,-19992.0,0.9996
513600,-19992.0,0.9996
513650,-19992.0,0.9996
513700,-19992.0,0.9996
513750,-19992.0,0.9996
513800,-19992.0,0.9996
513850,-19992.0,0.9996
513900,-19992.0,0.9996
513950,-19992.0,0.9996
514000,-19992.0,0.9996
514050,-19992.0,0.9996
514100,-19992.0,0.9996
514150,-19992.0,0.9996
514200,-19992.0,0.9996
514250,-19992.0,0.9996
514300,-19992.0,0.9996
514350,-19992.0,0.9996
514400,-19992.0,0.9996
514450,-19992.0,0.9996
514500,-19992.0,0.9996
514550,-19992.0,0.9996
514600,-19992.0,0.9996
514650,-19992.0,0.9996
514700,-19992.0,0.9996
514750,-19992.0,0.9996
514800,-19992.0,0.9996
514850,-19992.0,0.9996
514900,-19992.0,0.9996
514950,-19992.0,0.9996
515000,-19992.0,0.9996
515050,-19992.0,0.9996
515100,-19992.0,0.9996
515150,-19992.0,0.9996
515200,-19992.0,0.9996
515250,-19992.0,0.9996
515300,-19992.0,0.9996
515350,-19992.0,0.9996
515400,-19992.0,0.9996
515450,-19992.0,0.9996
515500,-19992.0,0.9996
515550,-19992.0,0.9996
515600,-19992.0,0.9996
515650,-19992.0,0.9996
515700,-19992.0,0.9996
515750,-19992.0,0.9996
515800,-19992.0,0.9996
515850,-19992.0,0.9996
515900,-19992.0,0.9996
515950,-19992.0,0.9996
516000,-19992.0,0.9996
516050,-19992.0,0.9996
516100,-19992.0,0.9996
516150,-19992.0,0.9996
516200,-19988.0,0.9994000000000001
516250,-19988.0,0.9994000000000001
516300,-19988.0,0.9994000000000001
516350,-19988.0,0.9994000000000001
516400,-19988.0,0.9994000000000001
516450,-19988.0,0.9994000000000001
516500,-19988.0,0.9994000000000001
516550,-19988.0,0.9994000000000001
516600,-19988.0,0.9994000000000001
516650,-19988.0,0.9994000000000001
516700,-19988.0,0.9994000000000001
516750,-19986.0,0.9992000000000001
516800,-19986.0,0.9992000000000001
516850,-19990.0,0.9994000000000001
516900,-19990.0,0.9994000000000001
516950,-19990.0,0.9994000000000001
517000,-19990.0,0.9994000000000001
517050,-19990.0,0.9994000000000001
517100,-19990.0,0.9994000000000001
517150,-19990.0,0.9994000000000001
517200,-19990.0,0.9994000000000001
517250,-19990.0,0.9994000000000001
517300,-19990.0,0.9994000000000001
517350,-19990.0,0.9994000000000001
517400,-19990.0,0.9994000000000001
517450,-19990.0,0.9994000000000001
517500,-19990.0,0.9994000000000001
517550,-19990.0,0.9994000000000001
517600,-19990.0,0.9994000000000001
517650,-19990.0,0.9994000000000001
517700,-19990.0,0.9994000000000001
517750,-19990.0,0.9994000000000001
517800,-19990.0,0.9994000000000001
517850,-19990.0,0.9994000000000001
517900,-19990.0,0.9994000000000001
517950,-19990.0,0.9994000000000001
518000,-19990.0,0.9994000000000001
518050,-19990.0,0.9994000000000001
518100,-19990.0,0.9994000000000001
518150,-19990.0,0.9994000000000001
518200,-19990.0,0.9994000000000001
518250,-19990.0,0.9994000000000001
518300,-19990.0,0.9994000000000001
518350,-19986.0,0.9992000000000001
518400,-19986.0,0.9992000000000001
518450,-19986.0,0.9992000000000001
518500,-19986.0,0.9992000000000001
518550,-19986.0,0.9992000000000001
518600,-19986.0,0.9992000000000001
518650,-19986.0,0.9992000000000001
518700,-19986.0,0.9992000000000001
518750,-19986.0,0.9992000000000001
518800,-19986.0,0.9992000000000001
518850,-19986.0,0.9992000000000001
518900,-19986.0,0.9992000000000001
518950,-19986.0,0.9992000000000001
519000,-19986.0,0.9992000000000001
519050,-19986.0,0.9992000000000001
519100,-19986.0,0.9992000000000001
519150,-19986.0,0.9992000000000001
519200,-19986.0,0.9992000000000001
519250,-19986.0,0.9992000000000001
519300,-19986.0,0.9992000000000001
519350,-19986.0,0.9992000000000001
519400,-19986.0,0.9992000000000001
519450,-19986.0,0.9992000000000001
519500,-19986.0,0.9992000000000001
519550,-19986.0,0.9992000000000001
519600,-19986.0,0.9992000000000001
519650,-19986.0,0.9992000000000001
519700,-19986.0,0.9992000000000001
519750,-19986.0,0.9992000000000001
519800,-19986.0,0.9992000000000001
519850,-19986.0,0.9992000000000001
519900,-19986.0,0.9992000000000001
519950,-19986.0,0.9992000000000001
520000,-19986.0,0.9992000000000001
520050,-19986.0,0.9992000000000001
520100,-19986.0,0.9992000000000001
520150,-19986.0,0.9992000000000001
520200,-19986.0,0.9992000000000001
520250,-19986.0,0.9992000000000001
520300,-19986.0,0.9992000000000001
520350,-19986.0,0.9992000000000001
520400,-19986.0,0.9992000000000001
520450,-19986.0,0.9992000000000001
520500,-19986.0,0.9992000000000001
520550,-19988.0,0.9994000000000001
520600,-19988.0,0.9994000000000001
520650,-19988.0,0.9994000000000001
520700,-19988.0,0.9994000000000001
520750,-19988.0,0.9994000000000001
520800,-19988.0,0.9994000000000001
520850,-19988.0,0.9994000000000001
520900,-19988.0,0.9994000000000001
520950,-19988.0,0.9994000000000001
521000,-19988.0,0.9994000000000001
521050,-19988.0,0.9994000000000001
521100,-19988.0,0.9994000000000001
521150,-19988.0,0.9994000000000001
521200,-19988.0,0.9994000000000001
521250,-19988.0,0.9994000000000001
521300,-19988.0,0.9994000000000001
521350,-19988.0,0.9994000000000001
521400,-19988.0,0.9994000000000001
521450,-19988.0,0.9994000000000001
521500,-19988.0,0.9994000000000001
521550,-19988.0,0.9994000000000001
521600,-19988.0,0.9994000000000001
521650,-19988.0,0.9994000000000001
521700,-19988.0,0.9994000000000001
521750,-19988.0,0.9994000000000001
521800,-19988.0,0.9994000000000001
521850,-19988.0,0.9994000000000001
521900,-19988.0,0.9994000000000001
521950,-19988.0,0.9994000000000001
522000,-19988.0,0.9994000000000001
522050,-19988.0,0.9994000000000001
522100,-19988.0,0.9994000000000001
522150,-19988.0,0.9994000000000001
522200,-19988.0,0.9994000000000001
522250,-19988.0,0.9994000000000001
522300,-19988.0,0.9994000000000001
522350,-19988.0,0.9994000000000001
522400,-19988.0,0.9994000000000001
522450,-19988.0,0.9994000000000001
522500,-19988.0,0.9994000000000001
522550,-19988.0,0.9994000000000001
522600,-19988.0,0.9994000000000001
522650,-19988.0,0.9994000000000001
522700,-19988.0,0.9994000000000001
522750,-19988.0,0.9994000000000001
522800,-19988.0,0.9994000000000001
522850,-19988.0,0.9994000000000001
522900,-19988.0,0.9994000000000001
522950,-19988.0,0.9994000000000001
523000,-19988.0,0.9994000000000001
523050,-19988.0,0.9994000000000001
523100,-19988.0,0.9994000000000001
523150,-19988.0,0.9994000000000001
523200,-19988.0,0.9994000000000001
523250,-19988.0,0.9994000000000001
523300,-19988.0,0.9994000000000001
523350,-19988.0,0.9994000000000001
523400,-19988.0,0.9994000000000001
523450,-19988.0,0.9994000000000001
523500,-19988.0,0.9994000000000001
523550,-19988.0,0.9994000000000001
523600,-19988.0,0.9994000000000001
523650,-19988.0,0.9994000000000001
523700,-19988.0,0.9994000000000001
523750,-19988.0,0.9994000000000001
523800,-19988.0,0.9994000000000001
523850,-19988.0,0.9994000000000001
523900,-19988.0,0.9994000000000001
523950,-19988.0,0.9994000000000001
524000,-19988.0,0.9994000000000001
524050,-19988.0,0.9994000000000001
524100,-19988.0,0.9994000000000001
524150,-19988.0,0.9994000000000001
524200,-19988.0,0.9994000000000001
524250,-19988.0,0.9994000000000001
524300,-19988.0,0.9994000000000001
524350,-19988.0,0.9994000000000001
524400,-19988.0,0.9994000000000001
524450,-19988.0,0.9994000000000001
524500,-19988.0,0.9994000000000001
524550,-19988.0,0.9994000000000001
524600,-19988.0,0.9994000000000001
524650,-19988.0,0.9994000000000001
524700,-19988.0,0.9994000000000001
524750,-19988.0,0.9994000000000001
524800,-19988.0,0.9994000000000001
524850,-19988.0,0.9994000000000001
524900,-19988.0,0.9994000000000001
524950,-19988.0,0.9994000000000001
525000,-19988.0,0.9994000000000001
525050,-19988.0,0.9994000000000001
525100,-19988.0,0.9994000000000001
525150,-19988.0,0.9994000000000001
525200,-19988.0,0.9994000000000001
525250,-19988.0,0.9994000000000001
525300,-19988.0,0.9994000000000001
525350,-19988.0,0.9994000000000001
525400,-19988.0,0.9994000000000001
525450,-19988.0,0.9994000000000001
525500,-19988.0,0.9994000000000001
525550,-19984.0,0.9992000000000001
525600,-19984.0,0.9992000000000001
525650,-19984.0,0.9992000000000001
525700,-19984.0,0.9992000000000001
525750,-19984.0,0.9992000000000001
525800,-19984.0,0.9992000000000001
