n,E,M
500000,-11968.0,-0.025599999999922456
500050,-11954.0,-0.025799999999922454
500100,-11954.0,-0.025999999999922453
500150,-11950.0,-0.02679999999992245
500200,-11942.0,-0.02479999999992246
500250,-11950.0,-0.022599999999922474
500300,-11940.0,-0.02299999999992247
500350,-11946.0,-0.023999999999922465
500400,-11936.0,-0.023799999999922467
500450,-11920.0,-0.025599999999922456
500500,-11934.0,-0.02499999999992246
500550,-11942.0,-0.025999999999922453
500600,-11928.0,-0.027199999999922446
500650,-11940.0,-0.027799999999922442
500700,-11918.0,-0.027599999999922444
500750,-11912.0,-0.026999999999922447
500800,-11892.0,-0.025999999999922453
500850,-11894.0,-0.02659999999992245
500900,-11892.0,-0.02639999999992245
500950,-11894.0,-0.025999999999922453
501000,-11886.0,-0.026999999999922447
501050,-11888.0,-0.02819999999992244
501100,-11888.0,-0.02459999999992246
501150,-11882.0,-0.02139999999992248
501200,-11866.0,-0.022599999999922474
501250,-11848.0,-0.024199999999922464
501300,-11858.0,-0.025199999999922458
501350,-11860.0,-0.02639999999992245
501400,-11872.0,-0.02799999999992244
501450,-11862.0,-0.02799999999992244
501500,-11864.0,-0.025999999999922453
501550,-11866.0,-0.026999999999922447
501600,-11886.0,-0.029399999999922433
501650,-11880.0,-0.030599999999922425
501700,-11878.0,-0.03359999999992241
501750,-11880.0,-0.030599999999922425
501800,-11886.0,-0.03179999999992242
501850,-11890.0,-0.03179999999992242
501900,-11900.0,-0.03139999999992242
501950,-11902.0,-0.030999999999922423
502000,-11912.0,-0.03139999999992242
502050,-11928.0,-0.03199999999992242
502100,-11920.0,-0.03159999999992242
502150,-11920.0,-0.03159999999992242
502200,-11914.0,-0.032399999999922414
502250,-11920.0,-0.03339999999992241
502300,-11926.0,-0.03179999999992242
502350,-11926.0,-0.03259999999992241
502400,-11912.0,-0.03159999999992242
502450,-11948.0,-0.03199999999992242
502500,-11950.0,-0.03159999999992242
502550,-11950.0,-0.03179999999992242
502600,-11958.0,-0.033799999999922406
502650,-11954.0,-0.03359999999992241
502700,-11938.0,-0.03359999999992241
502750,-11934.0,-0.03319999999992241
502800,-11902.0,-0.03179999999992242
502850,-11916.0,-0.03259999999992241
502900,-11920.0,-0.03139999999992242
502950,-11920.0,-0.03199999999992242
503000,-11942.0,-0.03139999999992242
503050,-11950.0,-0.030599999999922425
