n,E,M
500000,-11076.0,-0.011399999999922503
500050,-11076.0,-0.010799999999922502
500100,-11082.0,-0.0103999999999225
500150,-11080.0,-0.0099999999999225
500200,-11068.0,-0.010599999999922501
500250,-11036.0,-0.011799999999922504
500300,-11042.0,-0.010999999999922502
500350,-11036.0,-0.011199999999922503
500400,-11064.0,-0.01399999999992251
500450,-11066.0,-0.01399999999992251
500500,-11068.0,-0.01399999999992251
500550,-11062.0,-0.014399999999922511
500600,-11072.0,-0.01399999999992251
500650,-11064.0,-0.012999999999922508
500700,-11066.0,-0.012999999999922508
500750,-11078.0,-0.015399999999922514
500800,-11088.0,-0.016999999999922508
500850,-11066.0,-0.018599999999922498
500900,-11078.0,-0.01999999999992249
500950,-11070.0,-0.021199999999922482
501000,-11048.0,-0.020799999999922485
501050,-11044.0,-0.018799999999922497
501100,-11056.0,-0.0183999999999225
501150,-11068.0,-0.016999999999922508
501200,-11076.0,-0.01679999999992251
501250,-11086.0,-0.017599999999922504
501300,-11088.0,-0.017599999999922504
501350,-11080.0,-0.017599999999922504
501400,-11086.0,-0.0179999999999225
501450,-11054.0,-0.018599999999922498
501500,-11048.0,-0.0181999999999225
501550,-11046.0,-0.0181999999999225
501600,-11048.0,-0.0183999999999225
501650,-11068.0,-0.017199999999922506
501700,-11080.0,-0.019199999999922494
501750,-11072.0,-0.018599999999922498
501800,-11082.0,-0.019399999999922493
501850,-11084.0,-0.020799999999922485
501900,-11084.0,-0.01999999999992249
501950,-11098.0,-0.020999999999922483
502000,-11104.0,-0.022799999999922473
502050,-11108.0,-0.02179999999992248
502100,-11120.0,-0.020399999999922487
502150,-11126.0,-0.020399999999922487
502200,-11130.0,-0.01979999999992249
502250,-11156.0,-0.018599999999922498
502300,-11154.0,-0.01659999999992251
502350,-11150.0,-0.017599999999922504
502400,-11152.0,-0.01659999999992251
502450,-11142.0,-0.014799999999922512
502500,-11134.0,-0.014999999999922513
502550,-11128.0,-0.014399999999922511
502600,-11140.0,-0.014799999999922512
502650,-11130.0,-0.014799999999922512
502700,-11136.0,-0.014599999999922512
502750,-11140.0,-0.01379999999992251
502800,-11140.0,-0.014599999999922512
502850,-11136.0,-0.015199999999922513
502900,-11154.0,-0.012599999999922507
502950,-11160.0,-0.012999999999922508
503000,-11156.0,-0.011999999999922505
503050,-11152.0,-0.013399999999922509
503100,-11136.0,-0.011199999999922503
503150,-11120.0,-0.012999999999922508
503200,-11136.0,-0.011199999999922503
503250,-11136.0,-0.012399999999922506
503300,-11136.0,-0.012999999999922508
503350,-11148.0,-0.01419999999992251
503400,-11150.0,-0.011399999999922503
503450,-11130.0,-0.012599999999922507
503500,-11126.0,-0.0101999999999225
503550,-11114.0,-0.010599999999922501
503600,-11126.0,-0.009399999999922498
503650,-11136.0,-0.0103999999999225
503700,-11140.0,-0.011799999999922504
503750,-11130.0,-0.015199999999922513
503800,-11114.0,-0.01399999999992251
503850,-11112.0,-0.014799999999922512
503900,-11106.0,-0.012999999999922508
503950,-11102.0,-0.011399999999922503
504000,-11124.0,-0.011399999999922503
504050,-11128.0,-0.009599999999922499
504100,-11132.0,-0.010999999999922502
504150,-11138.0,-0.012199999999922505
504200,-11146.0,-0.01359999999992251
504250,-11128.0,-0.014599999999922512
504300,-11108.0,-0.014599999999922512
504350,-11118.0,-0.015399999999922514
504400,-11114.0,-0.017599999999922504
504450,-11090.0,-0.018799999999922497
504500,-11102.0,-0.02019999999992249
504550,-11114.0,-0.020599999999922486
504600,-11138.0,-0.022199999999922476
504650,-11122.0,-0.022599999999922474
504700,-11128.0,-0.02179999999992248
504750,-11132.0,-0.018999999999922496
504800,-11134.0,-0.01659999999992251
504850,-11144.0,-0.01639999999992251
504900,-11138.0,-0.01679999999992251
504950,-11140.0,-0.015999999999922514
505000,-11126.0,-0.015999999999922514
505050,-11132.0,-0.01419999999992251
505100,-11142.0,-0.012999999999922508
505150,-11148.0,-0.013399999999922509
505200,-11170.0,-0.01639999999992251
505250,-11154.0,-0.0179999999999225
505300,-11152.0,-0.01679999999992251
505350,-11164.0,-0.01639999999992251
505400,-11158.0,-0.015199999999922513
505450,-11156.0,-0.01399999999992251
505500,-11154.0,-0.012399999999922506
505550,-11146.0,-0.011799999999922504
505600,-11166.0,-0.01419999999992251
505650,-11188.0,-0.013399999999922509
505700,-11168.0,-0.013199999999922508
505750,-11164.0,-0.011399999999922503
505800,-11172.0,-0.008999999999922497
505850,-11168.0,-0.005999999999922498
505900,-11170.0,-0.0061999999999224975
505950,-11182.0,-0.005599999999922499
506000,-11192.0,-0.006599999999922497
506050,-11184.0,-0.005599999999922499
506100,-11184.0,-0.008199999999922495
506150,-11190.0,-0.008599999999922496
506200,-11196.0,-0.005999999999922498
506250,-11200.0,-0.006399999999922497
506300,-11194.0,-0.005999999999922498
506350,-11194.0,-0.0049999999999225
506400,-11176.0,-0.0049999999999225
506450,-11180.0,-0.003599999999922501
506500,-11188.0,-0.004199999999922501
506550,-11182.0,-0.003999999999922501
